행정동코드,total_all_202210,solo_all_202210,total_20_202210,solo_20_202210,total_25_202210,solo_25_202210,total_30_202210,solo_30_202210,total_35_202210,solo_35_202210,total_40_202210,solo_40_202210,total_45_202210,solo_45_202210,total_50_202210,solo_50_202210,total_55_202210,solo_55_202210,total_60_202210,solo_60_202210,total_65_202210,solo_65_202210,total_70_202210,solo_70_202210,total_75_202210,solo_75_202210,자치구,행정동명
1101053,7842,1806,582,192,687,234,781,209,754,209,830,156,771,146,710,107,727,105,534,83,427,72,386,69,653,224,종로구,사직동
1101054,2403,824,176,87,172,89,193,89,211,96,199,56,226,65,242,62,255,61,197,49,163,40,147,37,222,93,종로구,삼청동
1101055,9084,1557,1147,215,837,150,703,181,652,153,896,104,962,113,908,83,835,79,607,62,479,113,372,93,686,211,종로구,부암동
1101056,15344,1626,1260,134,1166,127,1172,140,1075,115,1482,104,1688,119,1770,120,1604,112,1126,86,854,79,784,76,1363,414,종로구,평창동
1101057,6337,801,453,49,423,49,455,64,555,73,826,56,748,48,712,64,622,57,428,45,360,75,282,61,473,160,종로구,무악동
1101058,4137,681,297,40,316,46,349,55,358,52,460,57,408,50,470,60,363,47,349,48,294,66,183,39,290,121,종로구,교남동
1101060,3973,1140,254,91,313,114,384,154,364,128,429,99,428,102,363,67,341,63,315,62,266,77,186,52,330,131,종로구,가회동
1101061,7284,5509,623,623,703,703,646,563,545,484,617,617,617,509,715,529,823,435,643,328,479,272,349,168,524,278,종로구,종로1234가동
1101063,4831,2011,558,365,473,295,396,211,305,151,378,112,430,148,511,135,497,130,368,104,316,113,211,91,388,156,종로구,종로56가동
1101064,8291,2915,1155,494,1383,586,1004,490,655,290,676,158,656,141,662,112,585,112,464,90,337,131,293,120,421,191,종로구,이화동
1101067,5874,1604,404,79,558,123,504,172,420,137,524,124,638,155,748,158,687,152,471,100,365,163,254,111,301,130,종로구,창신1동
1101068,9858,1924,829,99,961,123,797,175,687,133,905,145,1188,190,1238,207,1085,189,722,155,536,164,388,122,522,222,종로구,창신2동
1101069,6318,995,571,78,572,89,582,108,513,86,631,88,694,91,695,74,677,76,442,50,324,74,249,62,368,119,종로구,창신3동
1101070,6040,1752,516,139,531,121,629,224,530,258,614,115,613,111,645,182,580,99,437,81,337,139,246,84,362,199,종로구,숭인1동
1101071,8825,3347,768,438,1038,620,1003,486,739,330,731,205,799,223,878,168,833,178,678,145,496,176,371,138,491,240,종로구,숭인2동
1101072,10783,1573,841,132,839,126,991,225,1108,195,1295,105,1218,128,1039,94,868,77,671,61,570,93,431,66,912,271,종로구,청운효자동
1101073,18862,7000,3782,2473,3340,2121,1863,648,1332,411,1439,222,1380,211,1306,126,1187,131,849,93,715,98,524,72,1145,394,종로구,혜화동
1102052,1455,668,52,29,153,96,195,100,178,82,187,82,171,65,150,71,116,45,86,38,84,31,40,14,43,15,중구,소공동
1102054,4837,1412,250,64,419,116,387,165,391,145,389,189,446,152,556,91,642,122,477,81,331,101,238,86,311,100,중구,회현동
1102055,3546,1702,225,201,303,195,317,251,305,202,354,130,354,142,385,112,373,131,309,105,246,89,175,74,200,70,중구,명동
1102057,4480,1912,815,435,607,331,453,200,303,121,299,123,334,128,324,94,402,120,287,93,193,74,206,77,257,116,중구,필동
1102058,5618,2298,1128,622,916,500,585,292,418,176,410,99,395,97,358,78,403,105,290,70,238,59,176,64,301,136,중구,장충동
1102059,5088,2279,383,292,597,529,493,233,374,201,371,139,396,151,535,124,594,148,492,127,330,126,231,97,292,112,중구,광희동
1102060,1274,757,55,44,126,98,123,80,72,47,84,49,113,65,131,60,187,93,153,77,106,74,57,42,67,28,중구,을지로동
1102065,8502,2291,672,214,705,272,825,296,854,277,853,245,925,198,886,173,828,146,562,104,478,102,400,85,514,179,중구,신당5동
1102067,11042,3286,768,354,1213,588,1425,490,1169,360,1005,249,972,242,1043,174,1028,174,827,152,632,153,401,89,559,261,중구,황학동
1102068,7140,1260,455,79,610,126,728,129,750,117,692,101,638,89,663,81,729,82,530,69,459,89,355,68,531,230,중구,중림동
1102069,9843,3559,680,299,783,359,1260,541,1257,513,1423,524,1023,370,926,187,759,157,621,137,439,169,290,112,382,191,중구,신당동
1102070,12919,2622,1134,334,1281,394,1481,394,1155,276,1241,172,1247,168,1182,136,1218,150,874,105,709,112,542,88,855,293,중구,다산동
1102071,15214,2450,1033,127,1200,194,1478,200,1469,155,1522,179,1341,154,1472,173,1547,179,1184,146,970,196,702,161,1296,586,중구,약수동
1102072,18123,4550,1434,420,1716,482,1969,472,1764,376,1877,327,1755,343,1665,265,1639,290,1263,235,1056,394,797,299,1188,647,중구,청구동
1102073,8436,939,756,67,675,64,743,102,738,86,859,82,844,77,941,61,897,62,618,43,452,69,311,46,602,180,중구,동화동
1103051,14953,3092,1179,235,1371,301,1593,438,1451,359,1544,268,1549,262,1473,213,1325,195,1000,163,822,172,700,139,946,347,용산구,후암동
1103052,10502,2620,713,237,1097,414,1389,477,1008,316,1007,179,909,160,858,131,998,145,732,121,613,119,479,98,699,223,용산구,용산2가동
1103053,6881,2778,405,221,587,319,645,309,508,225,618,216,738,266,789,217,757,228,636,221,436,213,318,163,444,180,용산구,남영동
1103057,11846,1711,901,127,799,128,1192,216,1198,196,1376,137,1298,127,1238,113,1087,101,793,80,650,109,532,92,782,285,용산구,원효로2동
1103058,7674,1162,676,107,628,130,744,160,759,145,843,83,829,77,743,75,698,70,465,52,388,68,343,65,558,130,용산구,효창동
1103059,10008,1628,710,145,793,196,1084,203,1057,180,1119,118,987,103,931,94,951,103,690,78,598,107,442,80,646,221,용산구,용문동
1103063,19365,1473,1117,45,1173,51,1653,73,2214,72,2703,102,2357,129,1871,75,1707,73,1173,53,929,110,856,97,1612,593,용산구,이촌1동
1103064,7533,1095,464,56,562,94,811,132,727,105,729,95,635,81,726,64,802,61,636,60,487,56,375,40,579,251,용산구,이촌2동
1103065,6909,2276,472,193,779,342,828,354,744,288,613,193,600,185,596,101,605,117,491,102,359,102,302,75,520,224,용산구,이태원1동
1103066,8723,2476,529,211,903,377,1127,399,938,304,897,228,714,178,689,92,766,104,579,78,484,108,385,76,712,321,용산구,이태원2동
1103069,10500,1567,840,132,705,132,780,178,911,167,1295,112,1387,126,1226,75,867,58,621,60,502,102,467,83,899,342,용산구,서빙고동
1103070,14302,3903,1156,339,1423,455,1510,517,1312,469,1384,272,1448,284,1440,298,1323,234,923,201,841,216,535,144,1007,474,용산구,보광동
1103071,18700,5986,2610,1330,2269,1145,1988,783,1549,567,1666,371,1709,377,1658,236,1459,223,1060,156,903,239,763,210,1066,349,용산구,청파동
1103072,11158,2183,842,225,1169,363,1564,407,1389,323,1170,165,976,129,975,74,972,100,663,67,544,89,374,65,520,176,용산구,원효로1동
1103073,13622,6030,997,599,1251,736,1545,1302,1489,1050,1244,694,1068,430,1291,212,1336,240,1014,152,834,143,618,95,935,377,용산구,한강로동
1103074,18288,5226,1112,428,1793,735,2359,845,2011,663,1768,473,1671,456,1674,284,1677,295,1251,229,1013,201,756,153,1203,464,용산구,한남동
1104052,12212,2129,1058,252,1116,288,1232,245,1177,209,1318,197,1247,180,1255,124,1172,124,875,99,662,92,492,80,608,239,성동구,왕십리2동
1104054,20105,3901,2127,711,2224,770,2001,440,1624,333,1826,210,1956,219,1991,169,1865,169,1414,138,1090,160,748,119,1239,463,성동구,마장동
1104055,13495,5978,3434,2421,2882,1862,1333,514,784,318,822,129,784,114,796,100,712,93,541,69,481,99,373,70,553,189,성동구,사근동
1104056,11498,2089,1172,283,1291,355,1085,219,1093,182,1045,152,1063,139,1133,103,1110,101,768,81,607,125,441,89,690,260,성동구,행당1동
1104057,19482,1967,1413,64,1328,69,2008,177,2349,182,2601,160,2117,123,1816,139,1720,140,1228,112,1021,175,741,133,1140,493,성동구,행당2동
1104058,12746,1283,863,60,836,67,1215,142,1449,150,1709,127,1443,104,1208,84,1037,80,843,69,725,90,574,66,844,244,성동구,응봉동
1104059,10624,1463,759,58,744,64,1033,145,1065,137,1122,113,1150,118,1018,109,1080,127,798,98,635,121,489,90,731,283,성동구,금호1가동
1104062,11307,1738,762,72,876,103,1314,200,1448,207,1276,176,1022,137,1041,136,1063,147,785,124,590,113,437,79,693,244,성동구,금호4가동
1104065,13686,2549,1186,221,1288,289,1543,377,1336,291,1426,223,1486,218,1501,184,1328,164,865,106,635,120,451,90,641,266,성동구,성수1가1동
1104066,14356,3078,1108,353,1634,580,1822,510,1548,402,1433,217,1316,190,1349,143,1442,166,892,107,682,104,466,71,664,235,성동구,성수1가2동
1104067,16443,3565,1315,299,1598,388,1624,367,1468,309,1487,279,1636,298,1968,360,1803,325,1231,267,851,179,585,116,877,378,성동구,성수2가1동
1104068,14166,5171,1239,672,1590,885,1682,759,1266,577,1243,401,1249,397,1371,239,1357,260,1012,190,764,180,526,136,867,475,성동구,성수2가3동
1104069,9885,2493,785,230,863,267,1057,243,902,197,916,194,1054,216,1170,271,1070,255,757,185,532,154,325,94,454,187,성동구,송정동
1104070,14482,4286,1157,472,1319,568,1391,592,1235,478,1441,286,1595,328,1633,337,1434,310,1029,238,835,203,575,139,838,335,성동구,용답동
1104071,19008,3353,1718,346,1869,462,2069,445,2054,387,1757,260,1784,240,1920,204,1735,205,1205,148,920,168,819,144,1158,344,성동구,왕십리도선동
1104072,16795,2332,1203,114,1272,132,1971,305,1931,269,1808,257,1573,215,1564,127,1536,136,1181,112,914,156,783,149,1059,360,성동구,금호23가동
1104073,18001,2536,1230,107,1531,149,2235,303,2181,311,1980,310,1514,274,1648,152,1698,178,1245,122,924,154,729,141,1086,335,성동구,옥수동
1105053,24344,15292,6074,5553,5686,4230,3173,2185,1674,1079,1246,478,1203,426,1252,282,1191,270,904,209,691,153,527,120,723,307,광진구,화양동
1105054,20191,6721,3310,1561,2931,1419,2470,975,1721,626,1552,336,1526,296,1625,326,1600,327,1140,233,876,180,591,111,849,331,광진구,군자동
1105055,13624,3362,1048,281,1493,454,1753,527,1315,365,1188,267,1254,277,1372,255,1347,262,971,198,722,153,481,97,680,226,광진구,중곡1동
1105056,18176,3848,1630,414,1922,534,2299,673,1693,444,1695,257,1775,271,1875,254,1697,233,1235,175,919,176,624,115,812,302,광진구,중곡2동
1105057,14672,3601,1235,276,1447,359,1640,471,1319,349,1350,312,1551,347,1609,332,1469,307,1019,228,803,199,516,131,714,290,광진구,중곡3동
1105058,25365,3876,2198,259,2183,279,2677,464,2333,336,2447,290,2769,365,2624,358,2542,328,1874,257,1453,255,1017,185,1248,500,광진구,중곡4동
1105059,10144,4002,774,494,1468,893,1728,853,1167,547,883,278,779,225,725,139,790,141,563,116,491,121,300,69,476,126,광진구,능동
1105060,19642,6670,1707,752,2513,1166,2678,1291,1978,922,1833,517,1804,524,1842,353,1681,304,1149,247,920,191,632,136,905,267,광진구,구의1동
1105061,19997,3025,1574,230,1695,286,2085,355,1983,286,2114,253,2058,247,2021,214,1946,226,1505,174,1141,194,816,137,1059,423,광진구,구의2동
1105062,23142,3270,1981,348,2246,453,2538,552,2223,430,2318,223,2535,236,2434,168,2386,176,1525,120,1110,152,798,104,1048,308,광진구,구의3동
1105063,25841,1426,2277,81,1821,72,1950,120,2539,140,4137,99,3927,96,2841,122,2096,92,1362,66,865,90,772,73,1254,375,광진구,광장동
1105064,19837,5005,1740,639,2165,791,2396,792,1931,577,1823,316,1908,322,2013,290,1842,293,1332,230,951,217,714,156,1022,382,광진구,자양1동
1105065,21749,3371,1769,267,1923,299,2474,530,2331,439,2229,290,2189,282,2156,233,2243,249,1646,187,1071,147,760,119,958,329,광진구,자양2동
1105066,24006,2468,1933,204,2153,198,2525,280,2420,230,2644,198,2531,202,2483,180,2542,159,1750,132,1023,143,821,94,1181,448,광진구,자양3동
1105067,24583,5760,1932,551,2567,798,2499,648,1944,455,2046,457,2415,463,3030,561,2837,525,1987,406,1343,307,886,213,1097,376,광진구,자양4동
1106071,12140,5582,3409,2266,2177,1429,1222,543,844,340,721,128,702,125,680,119,639,115,491,87,410,128,269,86,576,216,동대문구,회기동
1106072,13286,3743,1670,769,1830,973,1403,434,1007,277,1067,197,1128,145,1125,144,1060,141,945,131,699,150,583,123,769,259,동대문구,휘경1동
1106073,20917,5331,2665,1962,2394,1262,1897,399,1869,333,2011,134,1915,138,1874,161,1791,161,1410,131,1123,156,871,124,1097,370,동대문구,휘경2동
1106080,19304,3533,1250,144,1583,201,1572,238,1439,190,1519,183,1622,186,1963,266,2223,319,1745,264,1453,390,1193,340,1742,812,동대문구,청량리동
