행정동코드,total_all_20233,solo_all_20233,total_20_20233,solo_20_20233,total_25_20233,solo_25_20233,total_30_20233,solo_30_20233,total_35_20233,solo_35_20233,total_40_20233,solo_40_20233,total_45_20233,solo_45_20233,total_50_20233,solo_50_20233,total_55_20233,solo_55_20233,total_60_20233,solo_60_20233,total_65_20233,solo_65_20233,total_70_20233,solo_70_20233,total_75_20233,solo_75_20233,자치구,행정동명
1101053,7840,1938,582,192,686,235,777,259,757,229,829,169,771,179,712,108,727,114,533,92,426,81,367,70,673,210,종로구,사직동
1101054,2393,828,169,85,172,87,193,92,211,90,199,63,226,69,242,62,255,67,197,51,163,39,131,34,235,89,종로구,삼청동
1101055,9116,1580,1147,223,841,150,711,191,652,153,899,111,965,116,913,86,835,83,611,65,481,118,341,82,720,202,종로구,부암동
1101056,15369,1629,1269,144,1173,124,1172,139,1075,118,1479,113,1691,125,1775,122,1604,116,1130,89,854,80,756,74,1391,385,종로구,평창동
1101057,6358,793,460,49,426,47,455,63,555,73,832,57,748,50,712,66,622,59,428,45,362,76,286,59,472,149,종로구,무악동
1101058,4233,725,297,41,316,48,349,58,365,56,460,60,394,50,487,63,361,49,344,50,318,73,208,48,334,129,종로구,교남동
1101060,3981,1155,254,88,313,117,384,155,364,135,435,108,428,105,363,68,341,66,315,62,266,75,155,45,363,131,종로구,가회동
1101061,6864,3433,558,370,654,494,589,319,496,251,589,292,571,278,674,254,785,326,630,260,464,192,348,149,506,248,종로구,종로1234가동
1101063,5026,2180,586,403,496,343,412,230,326,166,400,142,465,161,521,134,517,126,375,104,319,136,218,98,391,137,종로구,종로56가동
1101064,8343,2972,1159,505,1386,585,1007,492,658,300,678,157,656,145,674,129,590,120,468,95,345,141,321,136,401,167,종로구,이화동
1101067,5976,1528,429,74,565,121,525,185,426,137,534,114,640,132,761,116,692,144,468,112,375,165,227,100,334,128,종로구,창신1동
1101068,9962,2034,844,105,972,122,813,183,703,138,914,153,1196,194,1253,272,1092,190,727,181,538,166,374,114,536,216,종로구,창신2동
1101069,6318,1004,571,80,572,84,582,109,513,88,631,93,694,95,695,77,677,78,442,52,324,77,241,59,376,112,종로구,창신3동
1101070,6028,1471,510,102,531,115,629,224,527,169,618,119,617,110,640,109,582,101,438,81,330,90,248,70,358,181,종로구,숭인1동
1101071,8833,3403,768,447,1044,631,1005,496,739,337,731,216,799,231,878,174,833,178,678,146,496,183,356,133,506,231,종로구,숭인2동
