행정동코드,total_all_20241,solo_all_20241,total_20_20241,solo_20_20241,total_25_20241,solo_25_20241,total_30_20241,solo_30_20241,total_35_20241,solo_35_20241,total_40_20241,solo_40_20241,total_45_20241,solo_45_20241,total_50_20241,solo_50_20241,total_55_20241,solo_55_20241,total_60_20241,solo_60_20241,total_65_20241,solo_65_20241,total_70_20241,solo_70_20241,total_75_20241,solo_75_20241,자치구,행정동명
1101053,8934,2200,569,182,705,252,791,262,749,223,893,215,806,186,912,141,855,135,714,118,631,121,462,89,847,276,종로구,사직동
1101054,2579,911,311,152,176,88,186,87,205,89,193,63,221,69,243,63,256,71,216,51,176,43,136,34,260,101,종로구,삼청동
1101055,9226,1582,1119,204,865,161,687,177,637,150,873,107,947,110,921,87,839,80,674,70,525,124,401,94,738,218,종로구,부암동
1101056,15667,1646,1238,131,1207,128,1133,137,1051,113,1441,106,1660,118,1791,122,1614,109,1247,95,981,92,868,83,1436,412,종로구,평창동
1101057,6433,814,448,46,438,49,440,63,541,73,811,54,734,48,718,63,625,58,472,49,393,82,291,59,522,170,종로구,무악동
1101058,6620,1167,317,43,466,72,447,78,514,78,724,92,640,79,748,97,663,85,545,79,524,116,391,96,641,252,종로구,교남동
1101060,4037,1178,248,92,321,117,371,150,355,133,423,107,420,104,366,68,342,63,347,67,288,84,161,46,395,147,종로구,가회동
1101061,8860,4333,541,359,901,596,764,419,765,394,813,401,830,401,873,331,894,360,805,331,663,274,403,168,608,299,종로구,종로1234가동
1101063,5288,2334,577,386,579,390,459,260,341,181,389,139,458,162,530,136,518,141,437,120,346,149,235,107,419,163,종로구,종로56가동
1101064,8538,3041,1132,479,1426,623,973,485,643,297,660,157,643,141,679,120,593,114,516,102,452,176,326,132,495,215,종로구,이화동
1101067,6053,1666,416,81,581,129,507,175,416,146,517,120,626,154,768,163,696,145,520,119,407,179,263,113,336,142,종로구,창신1동
1101068,10073,1979,823,93,999,130,785,182,687,144,890,145,1174,195,1258,205,1098,194,799,146,583,180,398,124,579,241,종로구,창신2동
1101069,6422,1035,556,73,588,89,562,107,500,90,614,89,681,96,701,76,681,77,490,58,383,88,269,66,397,126,종로구,창신3동
1101070,6252,1535,497,97,546,116,607,209,514,175,602,114,606,107,645,108,585,97,512,96,429,118,267,74,442,224,종로구,숭인1동
1101071,9428,3667,750,434,1074,653,1003,505,747,349,714,209,785,227,886,174,838,181,755,165,758,287,432,160,686,323,종로구,숭인2동
1101072,10900,1735,822,134,858,151,968,229,1080,230,1259,143,1196,130,1048,95,872,78,740,69,619,106,512,86,926,284,종로구,청운효자동
1101073,19018,7120,3695,2430,3443,2224,1802,633,1306,417,1402,229,1354,220,1318,138,1194,131,936,102,776,109,526,73,1266,414,종로구,혜화동
1102052,2268,997,54,30,158,91,221,116,252,124,309,122,280,110,257,109,190,83,174,79,166,60,102,37,105,36,중구,소공동
1102054,4923,1440,212,61,395,124,345,145,352,133,399,143,418,151,537,99,636,128,520,116,435,133,273,88,401,119,중구,회현동
1102055,3992,1595,206,140,321,215,315,169,291,150,429,171,397,152,456,128,396,111,359,109,333,107,215,67,274,76,중구,명동
1102057,4725,2023,742,417,638,334,445,211,322,136,309,127,327,132,340,98,425,129,329,106,296,117,253,94,299,122,중구,필동
1102058,5634,2396,1153,669,948,527,563,293,397,194,390,109,387,106,354,82,386,98,310,78,247,68,172,47,327,125,중구,장충동
1102059,6345,2581,428,243,688,394,743,376,593,283,576,227,452,175,558,131,600,151,589,157,477,188,271,119,370,137,중구,광희동
1102060,2390,1470,85,65,238,192,352,243,284,185,268,162,196,114,211,101,203,98,201,101,156,111,72,50,124,48,중구,을지로동
1102065,8718,2098,664,201,712,231,791,242,838,234,843,181,916,185,899,158,847,148,656,126,539,115,414,88,599,189,중구,신당5동
1102067,11225,3419,753,355,1251,607,1382,499,1146,372,1004,267,958,244,1060,169,1039,187,912,171,686,166,422,105,612,277,중구,황학동
1102068,7600,1394,446,88,627,137,705,132,770,130,757,115,695,100,697,81,734,89,647,85,541,105,338,71,643,261,중구,중림동
1102069,16205,5839,689,309,1068,484,1816,825,2049,869,2463,931,1884,709,1829,378,1365,291,1149,255,776,314,510,197,607,277,중구,신당동
1102070,13268,2682,1109,300,1329,412,1449,390,1141,272,1217,178,1232,173,1198,141,1234,149,993,121,817,135,571,94,978,317,중구,다산동
