행정동코드,total_all_20226,solo_all_20226,total_20_20226,solo_20_20226,total_25_20226,solo_25_20226,total_30_20226,solo_30_20226,total_35_20226,solo_35_20226,total_40_20226,solo_40_20226,total_45_20226,solo_45_20226,total_50_20226,solo_50_20226,total_55_20226,solo_55_20226,total_60_20226,solo_60_20226,total_65_20226,solo_65_20226,total_70_20226,solo_70_20226,total_75_20226,solo_75_20226,자치구,행정동명
1101053,7849,1886,583,174,686,241,777,257,758,211,830,184,772,168,713,104,728,111,534,86,427,79,384,68,657,203,종로구,사직동
1101054,2388,810,161,79,172,82,193,94,211,96,199,61,226,67,242,64,255,61,197,49,163,38,143,36,226,83,종로구,삼청동
1101055,9120,1574,1147,219,841,155,715,197,652,157,899,107,965,114,913,85,835,79,611,64,481,113,368,87,693,197,종로구,부암동
1101056,15369,1595,1269,135,1173,126,1172,144,1075,117,1479,109,1691,124,1775,120,1604,114,1130,84,854,78,791,74,1356,370,종로구,평창동
1101057,6358,796,460,48,426,49,455,69,555,75,832,59,748,48,712,64,622,60,428,44,362,75,277,53,481,152,종로구,무악동
1101058,4163,687,297,41,316,50,349,58,366,55,462,58,409,50,471,62,362,47,346,47,303,66,178,39,304,114,종로구,교남동
1101060,3981,1135,254,92,313,120,384,155,364,132,435,106,428,98,363,66,341,62,315,61,266,74,188,51,330,118,종로구,가회동
1101061,6819,3386,556,368,651,432,589,312,496,242,548,339,571,270,674,261,786,324,630,264,464,187,340,146,514,241,종로구,종로1234가동
1101063,5037,2194,590,392,498,341,412,225,326,164,399,138,467,163,526,144,516,141,375,106,319,137,202,87,407,156,종로구,종로56가동
1101064,8343,2930,1159,488,1386,599,1007,492,658,298,678,154,656,142,674,120,590,113,468,92,345,138,302,122,420,172,종로구,이화동
1101067,5972,1631,427,87,565,118,525,178,426,136,532,137,638,158,762,160,692,151,471,99,375,169,229,99,330,139,종로구,창신1동
1101068,9953,1925,844,97,972,124,813,180,703,139,914,152,1196,192,1247,212,1092,191,724,152,538,161,378,116,532,209,종로구,창신2동
1101069,6318,1004,571,79,572,88,582,110,513,95,631,88,694,92,695,76,677,79,442,52,324,77,246,59,371,109,종로구,창신3동
1101070,6028,1456,510,105,531,118,629,218,527,173,618,116,617,111,640,107,582,99,438,78,330,85,237,64,369,182,종로구,숭인1동
1101071,8898,3419,777,430,1061,610,1021,529,739,326,737,207,801,221,883,184,835,193,678,149,498,188,365,134,503,248,종로구,숭인2동
1101072,10783,1683,844,143,835,145,1002,233,1106,228,1292,143,1218,128,1039,95,868,78,670,68,570,92,447,76,892,254,종로구,청운효자동
1101073,18870,7019,3782,2489,3344,2159,1863,642,1336,412,1439,230,1380,212,1306,127,1187,132,849,93,715,98,534,73,1135,352,종로구,혜화동
1102052,1580,726,52,28,153,93,201,113,183,90,203,94,190,71,170,71,128,54,115,51,91,32,45,15,49,14,중구,소공동
1102054,4623,1346,227,69,398,114,357,146,364,133,366,135,431,155,530,101,615,135,476,96,329,103,225,76,305,83,중구,회현동
1102055,3374,1756,211,209,299,281,296,213,267,172,347,135,335,161,380,151,362,138,289,104,232,76,174,62,182,54,중구,명동
1102057,4359,1872,728,401,594,322,455,202,301,126,294,122,327,130,322,97,397,123,282,94,193,71,208,78,258,106,중구,필동
1102058,5764,2373,1220,678,943,513,593,309,425,173,415,103,402,94,360,80,400,106,292,68,238,61,180,63,296,125,중구,장충동
1102059,5107,2365,388,269,595,620,494,247,373,173,371,148,396,149,536,131,603,164,498,138,330,130,228,93,295,103,중구,광희동
1102060,1432,859,70,56,125,102,142,96,99,63,98,60,119,72,155,71,202,101,170,84,118,81,63,47,71,26,중구,을지로동
1102065,8547,2060,681,208,691,227,819,251,852,237,862,184,934,190,889,152,841,156,578,108,484,100,373,75,543,172,중구,신당5동
1102067,11083,3296,772,354,1217,596,1429,499,1173,363,1009,254,977,244,1051,177,1033,176,827,151,632,153,420,98,543,231,중구,황학동
1102068,7168,1260,458,81,610,127,730,132,760,121,696,101,645,94,664,77,730,93,530,70,459,87,373,73,513,204,중구,중림동
1102069,11699,4186,706,313,931,414,1507,640,1576,630,1744,636,1305,475,1158,238,896,190,719,159,483,208,301,116,373,167,중구,신당동
1102070,13051,2605,1137,325,1292,399,1499,397,1168,277,1249,176,1255,169,1188,136,1227,147,900,110,728,114,554,86,854,269,중구,다산동
1102071,15327,2518,1042,139,1204,192,1502,211,1476,185,1526,183,1353,156,1475,178,1569,184,1196,161,978,217,695,164,1311,548,중구,약수동
1102072,12623,2375,1000,235,1106,217,1335,231,1139,179,1244,175,1168,170,1206,123,1212,133,918,136,747,255,594,155,954,366,중구,청구동
1102073,9084,994,800,71,727,73,815,113,856,101,982,92,929,85,993,65,932,64,643,46,471,71,317,47,619,166,중구,동화동
1103051,15070,3123,1196,235,1387,309,1612,445,1464,373,1559,278,1555,269,1481,214,1337,199,1000,166,827,167,706,146,946,322,용산구,후암동
1103052,10502,2634,713,246,1097,412,1389,487,1008,322,1007,183,909,160,858,133,998,148,732,119,613,122,486,99,692,203,용산구,용산2가동
1103053,6903,2825,408,223,591,335,647,327,510,237,620,222,741,271,791,221,760,229,636,212,436,218,314,158,449,172,용산구,남영동
1103057,11847,1694,901,126,801,131,1192,222,1198,199,1378,140,1293,124,1240,114,1087,100,793,81,650,108,530,90,784,259,용산구,원효로2동
1103058,7669,1144,673,117,628,128,742,155,757,148,843,83,829,78,745,71,698,69,465,52,388,66,328,57,573,120,용산구,효창동
1103059,10006,1613,710,146,793,192,1084,208,1057,179,1117,124,987,104,931,95,951,103,690,78,598,104,433,79,655,201,용산구,용문동
1103063,19422,1488,1130,46,1180,52,1656,77,2220,90,2712,159,2366,130,1871,77,1712,75,1177,52,934,105,876,100,1588,525,용산구,이촌1동
1103064,7537,1138,463,71,562,95,815,130,727,105,727,115,633,96,726,67,804,70,636,58,489,58,372,42,583,231,용산구,이촌2동
1103065,6912,2281,472,198,779,340,825,348,744,293,613,197,600,192,596,109,605,120,496,101,359,99,303,75,520,209,용산구,이태원1동
1103066,8742,2469,536,217,900,375,1130,413,941,308,897,227,717,175,694,97,773,106,574,78,484,106,369,74,727,293,용산구,이태원2동
1103069,10533,1554,840,125,705,132,784,189,912,172,1303,121,1386,128,1232,84,870,58,617,51,507,104,470,83,907,307,용산구,서빙고동
1103070,14286,4074,1156,347,1423,448,1507,571,1305,475,1379,319,1444,324,1437,301,1321,284,927,207,841,212,524,141,1022,445,용산구,보광동
1103071,18736,5926,2613,1317,2276,1097,1992,828,1553,553,1669,378,1711,386,1658,242,1465,218,1063,152,905,238,733,196,1098,321,용산구,청파동
1103072,11311,2381,854,262,1185,408,1584,415,1405,329,1191,214,989,166,981,95,980,103,672,74,556,91,401,68,513,156,용산구,원효로1동
1103073,13354,3735,1013,296,1225,484,1526,727,1424,638,1187,360,1049,312,1264,144,1324,151,1000,126,815,111,608,86,919,300,용산구,한강로동
1103074,18532,5339,1138,441,1829,753,2393,890,2037,704,1798,497,1689,447,1690,287,1687,303,1266,234,1020,206,779,161,1206,416,용산구,한남동
1104052,13034,2237,1121,250,1216,305,1322,270,1246,223,1410,208,1343,189,1301,133,1238,127,924,100,716,102,541,90,656,240,성동구,왕십리2동
1104054,20157,3663,2125,680,2232,679,2012,411,1625,326,1827,215,1955,190,1995,162,1872,156,1422,133,1099,153,761,117,1232,441,성동구,마장동
1104055,13447,6688,3455,2808,2935,2080,1349,580,770,345,795,132,759,120,786,105,702,100,525,66,470,98,369,79,532,175,성동구,사근동
1104056,11727,2048,1187,267,1323,387,1118,214,1120,167,1057,148,1079,147,1147,87,1120,96,788,89,631,114,453,92,704,240,성동구,행당1동
1104057,19711,1955,1436,68,1369,72,2044,190,2378,178,2624,165,2126,127,1829,141,1738,138,1234,109,1029,169,748,137,1156,461,성동구,행당2동
1104058,12752,1260,863,62,836,65,1218,143,1455,150,1709,130,1445,106,1208,85,1034,77,843,70,727,90,560,64,854,218,성동구,응봉동
1104059,10787,1489,768,58,758,67,1050,157,1082,140,1143,118,1168,120,1029,112,1098,131,807,104,643,124,532,106,709,252,성동구,금호1가동
1104062,11690,1791,784,78,911,107,1371,216,1511,222,1322,184,1058,144,1072,139,1087,149,803,126,602,118,453,82,716,226,성동구,금호4가동
1104065,13686,2522,1189,231,1292,283,1543,390,1343,317,1433,226,1477,216,1497,165,1323,154,864,105,627,114,466,92,632,229,성동구,성수1가1동
1104066,14435,3114,1121,360,1641,588,1836,533,1555,409,1445,220,1326,196,1360,148,1442,169,892,106,686,102,463,70,668,213,성동구,성수1가2동
1104067,16544,3645,1325,299,1614,396,1644,393,1476,316,1492,285,1639,303,1984,369,1809,380,1232,265,859,180,615,119,855,340,성동구,성수2가1동
1104068,10445,2384,802,258,1116,399,1270,387,966,259,898,180,936,182,1048,132,1107,141,812,110,561,95,378,60,551,181,성동구,성수2가3동
1104069,10119,2617,808,234,886,278,1082,292,936,222,940,202,1076,226,1190,279,1085,264,768,188,550,159,335,96,463,177,성동구,송정동
1104070,14538,4258,1166,453,1325,559,1386,587,1237,482,1442,316,1600,331,1646,339,1443,314,1040,244,838,200,567,137,848,296,성동구,용답동
1104071,19184,3977,1759,453,1917,610,2045,513,2025,429,1789,319,1820,302,1966,244,1750,242,1204,163,921,192,816,159,1172,351,성동구,왕십리도선동
1104072,17972,2486,1301,124,1396,150,2083,325,2060,293,1925,277,1705,239,1671,138,1623,147,1259,120,997,171,823,154,1129,348,성동구,금호23가동
1104073,18003,2246,1204,100,1530,140,2238,298,2193,271,1990,284,1517,208,1647,135,1697,151,1248,115,934,146,723,119,1082,279,성동구,옥수동
1105053,25476,15052,6256,4811,5894,4427,3303,2289,1758,1161,1326,496,1286,449,1331,304,1266,283,982,228,746,169,531,123,797,312,광진구,화양동
1105054,20356,6969,3344,1741,2952,1495,2497,1011,1730,636,1560,318,1539,306,1636,304,1620,329,1146,234,883,179,592,112,857,304,광진구,군자동
1105055,13665,3334,1048,276,1496,442,1762,535,1320,354,1194,275,1257,278,1375,257,1352,262,973,199,726,154,478,98,684,204,광진구,중곡1동
1105056,18272,3839,1634,396,1935,536,2311,684,1702,447,1705,264,1783,271,1887,259,1707,235,1244,178,927,176,620,118,817,275,광진구,중곡2동
1105057,14670,3595,1235,270,1447,355,1640,479,1319,356,1350,317,1551,351,1609,332,1469,305,1019,233,803,203,507,127,721,267,광진구,중곡3동
1105058,25372,3888,2201,252,2186,278,2677,474,2331,365,2446,334,2772,366,2628,336,2538,332,1874,265,1453,255,1037,187,1229,444,광진구,중곡4동
1105059,10279,4105,794,474,1485,906,1752,907,1175,577,899,295,789,232,729,143,795,147,578,118,502,119,299,70,482,117,광진구,능동
1105060,19692,6445,1712,741,2520,1156,2684,1245,1979,838,1839,530,1808,504,1848,332,1683,315,1151,221,925,192,650,136,893,235,광진구,구의1동
1105061,20003,2930,1588,209,1696,275,2091,361,1983,299,2110,256,2054,251,2021,200,1948,219,1499,160,1137,177,799,131,1077,392,광진구,구의2동
