행정동코드,total_all_20225,solo_all_20225,total_20_20225,solo_20_20225,total_25_20225,solo_25_20225,total_30_20225,solo_30_20225,total_35_20225,solo_35_20225,total_40_20225,solo_40_20225,total_45_20225,solo_45_20225,total_50_20225,solo_50_20225,total_55_20225,solo_55_20225,total_60_20225,solo_60_20225,total_65_20225,solo_65_20225,total_70_20225,solo_70_20225,total_75_20225,solo_75_20225,자치구,행정동명
1101053,7850,1837,583,171,686,238,778,238,758,206,831,160,772,166,712,108,729,97,533,91,428,82,388,75,652,205,종로구,사직동
1101054,2376,804,149,71,172,82,193,93,211,95,199,61,226,66,242,63,255,65,197,47,163,40,144,37,225,84,종로구,삼청동
1101055,9116,1557,1147,215,841,156,711,186,652,156,899,108,965,113,913,85,835,80,611,65,481,112,376,88,685,193,종로구,부암동
1101056,15369,1604,1269,137,1173,126,1172,144,1075,117,1479,108,1691,122,1775,121,1604,114,1130,85,854,80,781,75,1366,375,종로구,평창동
1101057,6358,794,460,47,426,49,455,68,555,73,832,59,748,47,712,64,622,62,428,46,362,72,281,57,477,150,종로구,무악동
1101058,4275,698,297,40,324,50,349,57,373,56,464,57,423,50,483,62,375,50,373,49,319,70,183,40,312,117,종로구,교남동
1101060,3981,1131,254,95,313,122,384,149,364,128,435,106,428,98,363,67,341,61,315,61,266,75,188,51,330,118,종로구,가회동
1101061,6821,3449,556,366,651,435,589,310,498,298,544,265,575,361,674,262,786,321,630,259,464,186,339,145,515,241,종로구,종로1234가동
1101063,5034,2200,590,398,498,341,412,226,324,161,402,141,463,164,526,140,516,142,375,107,319,140,200,86,409,154,종로구,종로56가동
1101064,8340,2893,1159,489,1386,589,1007,479,658,292,678,154,656,140,671,121,590,111,468,91,345,132,310,125,412,170,종로구,이화동
1101067,5975,1619,427,88,565,114,525,181,426,134,532,132,638,155,762,160,692,148,474,100,375,166,235,104,324,137,종로구,창신1동
1101068,9953,1888,844,97,972,125,813,179,703,138,917,144,1196,193,1247,210,1092,189,721,132,538,157,379,116,531,208,종로구,창신2동
1101069,6316,1007,571,81,572,89,582,110,516,96,628,88,694,92,695,76,675,80,442,51,324,78,240,56,377,110,종로구,창신3동
1101070,6025,1449,510,106,531,118,629,217,524,170,618,114,617,111,640,107,582,95,438,79,330,87,240,66,366,179,종로구,숭인1동
1101071,8835,3338,768,432,1044,622,1005,487,739,318,733,209,799,227,878,170,833,182,678,150,496,176,358,132,504,233,종로구,숭인2동
