행정동코드,total_all_20229,solo_all_20229,total_20_20229,solo_20_20229,total_25_20229,solo_25_20229,total_30_20229,solo_30_20229,total_35_20229,solo_35_20229,total_40_20229,solo_40_20229,total_45_20229,solo_45_20229,total_50_20229,solo_50_20229,total_55_20229,solo_55_20229,total_60_20229,solo_60_20229,total_65_20229,solo_65_20229,total_70_20229,solo_70_20229,total_75_20229,solo_75_20229,자치구,행정동명
1101053,7920,1761,585,159,692,210,784,218,769,226,842,166,785,152,716,98,735,97,541,92,430,82,392,65,649,196,종로구,사직동
1101054,2532,856,176,135,188,91,208,104,227,83,205,61,234,69,259,59,265,51,211,45,163,41,158,36,238,81,종로구,삼청동
1101055,9167,1546,1170,204,848,150,711,185,652,162,899,109,965,110,913,83,843,80,613,64,481,112,375,91,697,196,종로구,부암동
1101056,15369,1611,1269,123,1173,128,1172,140,1075,116,1479,112,1691,127,1775,121,1604,114,1130,88,854,80,799,75,1348,387,종로구,평창동
1101057,6140,788,443,50,404,47,426,70,538,76,829,61,715,50,698,63,597,58,409,44,346,67,263,55,472,147,종로구,무악동
1101058,4323,1096,313,59,338,91,378,111,368,95,466,108,429,82,467,90,385,87,368,66,314,98,198,62,299,147,종로구,교남동
1101060,3850,1131,251,104,297,112,369,145,348,144,429,102,420,95,346,63,331,60,301,64,266,77,178,49,314,116,종로구,가회동
1101061,6846,3407,554,341,650,437,590,314,501,299,558,279,575,288,678,298,796,314,630,257,462,183,334,151,518,246,종로구,종로1234가동
1101063,5019,2090,590,312,495,320,410,233,323,172,399,126,461,157,526,145,513,150,375,109,319,130,210,85,398,151,종로구,종로56가동
1101064,8349,2798,1161,399,1390,494,1007,509,658,294,678,158,656,152,674,117,590,114,468,99,345,138,302,133,420,191,종로구,이화동
1101067,3849,1021,180,38,255,56,295,102,266,80,333,77,425,94,558,105,510,94,328,74,291,126,187,82,221,93,종로구,창신1동
1101068,9936,1947,844,102,972,126,803,185,699,140,914,157,1196,197,1247,212,1090,195,723,134,538,166,387,118,523,215,종로구,창신2동
1101069,5399,917,481,62,500,80,503,105,431,88,470,71,511,71,575,65,627,76,402,50,307,81,236,58,356,110,종로구,창신3동
1101070,7890,1915,667,128,683,149,788,240,688,211,907,173,927,185,855,174,762,145,544,99,382,109,276,81,411,221,종로구,숭인1동
1101071,10480,5071,969,700,1308,948,1206,798,856,497,868,336,932,346,1030,274,945,240,796,186,569,266,416,175,585,305,종로구,숭인2동
