행정동코드,total_all_20227,solo_all_20227,total_20_20227,solo_20_20227,total_25_20227,solo_25_20227,total_30_20227,solo_30_20227,total_35_20227,solo_35_20227,total_40_20227,solo_40_20227,total_45_20227,solo_45_20227,total_50_20227,solo_50_20227,total_55_20227,solo_55_20227,total_60_20227,solo_60_20227,total_65_20227,solo_65_20227,total_70_20227,solo_70_20227,total_75_20227,solo_75_20227,자치구,행정동명
1101053,8178,2610,585,207,725,290,847,383,793,291,845,269,795,286,765,210,747,164,579,123,457,121,379,93,661,173,종로구,사직동
1101054,1928,689,174,155,124,52,161,73,149,57,142,57,157,45,220,45,181,44,154,34,132,30,129,34,205,63,종로구,삼청동
1101055,8515,1329,1072,148,751,99,648,160,591,143,823,98,870,103,883,72,807,83,587,56,456,125,355,82,672,160,종로구,부암동
1101056,14093,1445,1189,130,1071,101,1023,114,957,122,1279,98,1496,111,1635,97,1494,119,1075,85,798,92,756,86,1320,290,종로구,평창동
1101057,6491,739,460,46,433,40,453,51,576,61,840,45,783,47,732,64,638,58,422,37,375,80,291,78,488,132,종로구,무악동
1101058,4666,1253,328,61,370,92,419,108,415,110,543,124,448,100,511,106,421,95,384,81,310,131,196,89,321,156,종로구,교남동
1101060,3723,860,214,73,277,68,333,84,341,93,433,80,369,61,345,63,324,43,320,51,253,77,194,70,320,97,종로구,가회동
1101061,6918,4995,540,493,660,660,611,510,509,443,579,502,587,562,691,361,785,436,622,341,477,263,342,188,515,236,종로구,종로1234가동
1101063,4795,2196,571,353,525,490,382,294,288,196,365,117,422,92,519,116,521,140,342,97,284,113,198,80,378,108,종로구,종로56가동
1101064,8314,2731,1085,356,1429,517,1036,428,642,282,656,152,625,145,671,103,587,106,474,93,364,189,317,194,428,166,종로구,이화동
1101067,4564,894,300,48,375,52,369,80,287,71,369,60,455,71,573,53,581,78,402,66,337,118,226,101,290,96,종로구,창신1동
1101068,10180,1466,820,66,972,60,785,115,704,96,934,91,1230,145,1292,138,1157,158,779,110,549,169,397,123,561,195,종로구,창신2동
1101069,6368,920,576,67,557,84,593,105,539,82,607,63,680,71,680,73,727,70,451,54,332,87,245,69,381,95,종로구,창신3동
1101070,6403,1554,523,100,577,121,621,163,566,182,671,125,686,159,701,117,628,116,474,86,337,105,252,97,367,183,종로구,숭인1동
1101071,9633,4243,879,596,1170,814,1134,623,811,430,814,270,846,284,925,199,896,173,719,162,537,261,381,189,521,242,종로구,숭인2동
1101072,9485,1056,769,122,724,86,908,122,933,110,1099,88,1044,75,908,58,769,55,552,41,512,64,419,59,848,176,종로구,청운효자동
1101073,18986,4903,4028,1821,3385,1353,1840,393,1298,260,1421,140,1369,166,1292,108,1145,101,840,74,702,92,527,79,1139,316,종로구,혜화동
1102052,1703,1259,57,55,160,157,223,213,179,146,227,152,225,169,182,108,141,91,122,77,93,52,47,26,47,13,중구,소공동
1102054,4463,1261,206,42,360,84,336,144,335,116,375,167,407,157,530,84,574,104,476,73,327,118,228,89,309,83,중구,회현동
1102055,3437,1986,240,240,275,247,318,267,294,232,354,184,372,219,359,141,355,121,284,100,237,103,170,82,179,50,중구,명동
1102057,3838,1590,711,313,492,244,375,164,244,126,245,135,275,108,293,96,326,91,283,93,177,83,180,57,237,80,중구,필동
1102058,4957,1966,1114,583,803,365,517,260,350,155,323,80,288,79,299,72,339,81,268,57,219,74,167,62,270,98,중구,장충동
1102059,5136,2920,406,330,650,554,551,498,372,275,352,243,390,220,483,127,510,129,505,140,354,171,249,134,314,99,중구,광희동
1102060,1445,1179,76,74,117,117,167,159,103,102,109,102,126,126,135,95,194,132,172,94,108,90,70,65,68,23,중구,을지로동
1102065,8846,2243,679,203,740,270,868,317,906,282,908,240,969,165,915,163,868,149,615,117,470,99,376,96,532,142,중구,신당5동
1102067,11335,3072,795,327,1291,636,1529,471,1200,374,1020,235,996,214,1057,134,1030,144,816,122,629,128,407,100,565,187,중구,황학동
1102068,7445,1507,464,94,587,123,762,141,830,163,715,141,686,143,700,97,757,103,569,115,467,99,384,101,524,187,중구,중림동
1102069,12685,8257,785,475,1067,945,1661,1432,1645,1181,1810,1247,1414,1130,1272,469,1038,356,768,255,505,350,330,207,390,210,중구,신당동
1102070,13277,2276,1168,260,1321,339,1520,298,1152,251,1285,158,1268,147,1244,163,1232,111,931,102,745,129,565,110,846,208,중구,다산동
1102071,15051,1645,979,87,1154,112,1437,104,1430,96,1481,106,1326,105,1447,105,1613,113,1186,105,991,164,700,140,1307,408,중구,약수동
1102072,13915,3033,1153,264,1253,277,1489,276,1292,238,1372,212,1306,219,1349,180,1334,203,959,158,773,358,635,265,1000,383,중구,청구동
1102073,8582,710,691,50,664,45,761,69,781,60,893,55,884,60,975,41,920,44,629,32,447,64,324,51,613,139,중구,동화동
1103051,15113,2352,1179,152,1399,210,1652,310,1461,280,1574,208,1560,191,1496,157,1307,153,1009,165,826,158,703,115,947,253,용산구,후암동
