행정동코드,total_all_20237,solo_all_20237,total_20_20237,solo_20_20237,total_25_20237,solo_25_20237,total_30_20237,solo_30_20237,total_35_20237,solo_35_20237,total_40_20237,solo_40_20237,total_45_20237,solo_45_20237,total_50_20237,solo_50_20237,total_55_20237,solo_55_20237,total_60_20237,solo_60_20237,total_65_20237,solo_65_20237,total_70_20237,solo_70_20237,total_75_20237,solo_75_20237,자치구,행정동명
1101053,7845,1907,582,190,686,245,777,267,758,211,830,163,772,165,713,104,727,114,533,87,427,76,354,64,686,221,종로구,사직동
1101054,2412,818,185,90,172,87,193,89,211,94,199,61,226,66,242,63,255,64,197,47,163,39,134,30,235,88,종로구,삼청동
1101055,9113,1539,1147,209,841,146,711,181,652,155,896,112,965,115,913,82,835,79,611,63,481,109,347,81,714,207,종로구,부암동
1101056,15369,1622,1269,139,1173,126,1172,141,1075,120,1479,112,1691,121,1775,121,1604,113,1130,85,854,81,778,75,1369,388,종로구,평창동
1101057,6358,788,460,46,426,47,455,64,555,74,832,57,748,50,712,64,622,57,428,44,362,73,287,61,471,151,종로구,무악동
1101058,4197,717,297,40,316,49,349,59,364,57,460,59,387,48,464,59,364,47,341,49,307,70,199,45,349,135,종로구,교남동
1101060,3981,1140,254,87,313,118,384,151,364,132,435,104,428,107,363,68,341,60,315,61,266,75,160,46,358,131,종로구,가회동
1101061,6847,3410,554,371,651,430,589,317,495,253,580,351,571,271,674,257,786,319,629,258,464,189,342,144,512,250,종로구,종로1234가동
1101063,5042,2168,592,401,498,334,412,233,327,154,400,139,467,157,526,130,516,137,376,100,319,138,236,104,373,141,종로구,종로56가동
1101064,8343,2959,1159,500,1386,601,1007,497,658,305,678,153,656,143,674,123,590,111,468,89,345,136,297,120,425,181,종로구,이화동
1101067,5972,1628,427,91,565,127,525,180,426,143,532,128,638,156,762,172,692,135,471,110,375,151,241,106,318,129,종로구,창신1동
1101068,9953,1943,844,99,972,126,813,187,703,143,914,150,1196,193,1247,207,1092,191,724,152,538,160,366,109,544,226,종로구,창신2동
1101069,6318,1002,571,80,572,87,582,113,513,88,631,94,694,93,695,77,677,75,442,50,324,76,243,58,374,111,종로구,창신3동
1101070,6028,1463,510,103,531,116,629,224,527,173,618,115,617,108,640,106,582,99,438,81,330,90,242,63,364,185,종로구,숭인1동
1101071,8835,3399,768,440,1044,635,1005,506,739,341,733,213,799,230,878,172,833,177,678,144,496,178,364,134,498,229,종로구,숭인2동
1101072,10783,1714,844,143,835,147,1002,233,1106,238,1292,147,1218,134,1039,96,868,80,670,63,570,96,441,75,898,262,종로구,청운효자동
1101073,18870,7137,3782,2523,3344,2175,1863,665,1336,427,1439,233,1380,218,1306,128,1187,131,849,92,715,97,473,66,1196,382,종로구,혜화동
1102052,1587,720,52,28,153,93,202,105,188,93,176,69,191,74,176,77,140,58,103,47,99,38,52,21,55,17,중구,소공동
1102054,4618,1335,219,62,384,112,357,149,361,137,360,130,427,150,533,99,633,127,471,99,338,105,208,72,327,93,중구,회현동
1102055,3346,1582,211,173,313,224,295,180,269,182,355,147,334,138,367,133,344,116,294,98,211,77,157,55,196,59,중구,명동
1102057,4390,1852,736,401,601,317,447,204,307,127,297,120,324,126,321,93,410,124,290,90,193,72,216,83,248,95,중구,필동
1102058,5753,2325,1215,707,947,491,598,286,419,186,412,97,405,95,361,71,395,89,289,71,234,55,162,58,316,119,중구,장충동
1102059,5084,2116,385,218,584,334,497,353,373,174,370,145,396,150,536,123,594,151,493,129,333,133,233,100,290,106,중구,광희동
1102060,1586,961,62,49,158,129,179,122,151,100,141,87,119,70,155,71,202,97,170,82,118,84,52,39,79,31,중구,을지로동
1102065,8568,2060,681,207,693,226,819,258,858,240,866,182,934,190,891,154,843,147,579,107,484,101,383,81,537,167,중구,신당5동
1102067,11083,3364,772,366,1217,604,1429,521,1173,376,1009,264,977,247,1051,171,1033,178,827,148,632,152,390,91,573,246,중구,황학동
1102068,7168,1280,458,83,610,125,730,133,760,125,696,106,645,93,664,77,730,89,530,71,459,90,329,65,557,223,중구,중림동
1102069,10573,3833,706,316,827,378,1266,571,1285,543,1568,589,1160,425,1071,213,853,179,684,150,479,185,298,113,376,171,중구,신당동
1102070,13053,2630,1137,328,1292,400,1499,409,1168,282,1249,180,1255,169,1188,137,1227,141,900,107,730,119,524,80,884,278,중구,다산동
1102071,15327,2559,1042,152,1204,203,1502,217,1476,193,1526,190,1353,162,1475,180,1569,185,1196,162,978,215,738,171,1268,529,중구,약수동
1102072,12456,2115,985,177,1106,212,1335,231,1139,178,1242,152,1165,139,1206,122,1212,132,855,102,670,180,579,149,962,341,중구,청구동
1102073,9084,1006,800,74,727,75,815,112,856,108,982,94,929,87,993,66,932,64,643,45,471,75,330,49,606,157,중구,동화동
1103051,15070,3131,1196,236,1387,315,1612,447,1464,374,1559,273,1555,269,1481,210,1337,213,1000,167,827,165,698,139,954,323,용산구,후암동
1103052,10558,2651,713,247,1107,398,1392,488,1011,328,1014,204,913,159,866,128,998,149,732,118,615,113,456,95,741,224,용산구,용산2가동
1103053,6903,2848,408,227,591,332,647,332,510,244,620,229,741,268,791,221,760,236,636,209,436,214,297,151,466,185,용산구,남영동
1103057,11847,1721,901,129,801,136,1192,228,1198,203,1378,140,1293,124,1240,118,1087,102,793,79,650,110,495,84,819,268,용산구,원효로2동
1103058,7671,1180,673,125,628,140,744,160,759,147,843,86,829,81,743,74,698,67,465,52,388,67,363,70,538,111,용산구,효창동
1103059,10006,1652,710,156,793,196,1084,213,1057,184,1117,125,987,107,931,97,951,102,690,81,598,107,415,72,673,212,용산구,용문동
1103063,19426,1500,1129,45,1179,51,1659,77,2217,93,2706,155,2366,130,1866,76,1713,70,1185,48,932,112,839,100,1635,543,용산구,이촌1동
1103064,7539,1130,463,70,562,101,816,108,727,110,727,113,633,101,726,61,804,69,636,57,489,55,339,39,617,246,용산구,이촌2동
1103065,6902,2318,472,200,779,347,825,357,744,303,613,205,600,192,596,112,605,113,488,102,359,103,302,79,519,205,용산구,이태원1동
1103066,8699,2498,536,209,890,381,1127,423,938,311,890,229,713,174,686,99,773,104,582,81,482,103,315,67,767,317,용산구,이태원2동
1103069,10542,1567,841,131,706,129,781,181,915,175,1309,119,1386,130,1234,75,869,56,611,59,524,117,464,85,902,310,용산구,서빙고동
1103070,14286,4095,1156,349,1423,451,1507,592,1305,475,1379,325,1444,324,1440,293,1321,269,925,202,839,221,533,146,1014,448,용산구,보광동
1103071,18720,5993,2613,1309,2269,1143,1990,807,1551,582,1669,387,1709,375,1658,239,1463,222,1062,161,905,235,733,209,1098,324,용산구,청파동
1103072,11305,2390,852,270,1186,378,1579,430,1405,343,1189,222,987,171,981,96,980,103,673,67,559,86,402,68,512,156,용산구,원효로1동
1103073,13144,3837,1067,356,1224,430,1502,799,1284,579,1190,435,1040,337,1177,133,1324,151,999,126,812,108,599,81,926,302,용산구,한강로동
1103074,18532,5380,1138,451,1829,757,2393,902,2037,715,1798,498,1689,449,1690,281,1687,302,1266,230,1021,209,737,147,1247,439,용산구,한남동
1104052,13223,2320,1150,266,1258,320,1325,276,1252,230,1416,213,1365,202,1344,137,1248,131,935,101,719,107,521,82,690,255,성동구,왕십리2동
1104054,20122,3957,2127,734,2224,787,2006,474,1626,342,1830,217,1956,226,1989,177,1871,162,1414,135,1090,154,759,114,1230,435,성동구,마장동
1104055,13590,5651,3413,2122,2911,1838,1317,521,814,324,828,141,809,117,793,100,748,92,537,67,493,96,326,59,601,174,성동구,사근동
1104056,11913,2280,1253,362,1362,378,1172,260,1092,191,1082,151,1080,151,1161,110,1116,114,799,85,628,128,441,88,727,262,성동구,행당1동
1104057,19707,1962,1436,67,1369,71,2044,190,2376,194,2624,165,2126,125,1830,136,1738,135,1233,108,1029,181,740,126,1162,464,성동구,행당2동
1104058,12752,1266,863,63,836,68,1218,144,1455,153,1709,130,1445,105,1208,86,1034,78,843,64,727,88,519,59,895,228,성동구,응봉동
1104059,10794,1519,768,58,758,67,1050,159,1084,151,1143,120,1168,120,1029,112,1098,130,808,101,643,119,476,94,769,288,성동구,금호1가동
1104062,11689,1840,784,79,911,106,1371,222,1511,227,1320,189,1059,169,1072,140,1087,147,803,129,602,114,458,86,711,232,성동구,금호4가동
1104065,13780,2583,1192,234,1299,293,1551,410,1352,324,1445,231,1492,223,1506,161,1335,153,870,105,635,122,443,86,660,241,성동구,성수1가1동
1104066,14446,3164,1121,365,1645,601,1836,550,1555,418,1445,226,1326,199,1360,143,1445,167,892,103,686,105,458,68,677,219,성동구,성수1가2동
1104067,16544,3679,1325,306,1614,414,1644,392,1476,322,1492,286,1639,300,1984,364,1809,369,1232,270,859,179,626,122,844,355,성동구,성수2가1동
1104068,10475,2413,802,270,1116,403,1270,393,966,271,898,179,936,181,1048,130,1107,135,812,106,561,95,394,62,565,188,성동구,성수2가3동
1104069,10124,2635,808,248,886,280,1082,295,936,234,940,210,1076,218,1190,265,1088,266,768,189,550,161,309,84,491,185,성동구,송정동
1104070,14558,4364,1168,479,1327,570,1391,592,1237,490,1448,324,1603,340,1646,348,1443,308,1042,252,838,209,555,137,860,315,성동구,용답동
1104071,17537,3115,1604,325,1693,418,1882,417,1845,373,1590,219,1631,208,1815,190,1590,184,1146,135,850,163,728,141,1163,342,성동구,왕십리도선동
1104072,18003,2516,1316,126,1396,160,2083,333,2060,296,1927,281,1705,245,1671,137,1623,140,1261,114,1001,175,771,139,1189,370,성동구,금호23가동
1104073,18006,2283,1204,101,1530,146,2238,311,2193,279,1992,290,1519,207,1647,136,1697,147,1248,113,933,150,709,114,1096,289,성동구,옥수동
1105053,25476,15189,6256,4828,5894,4464,3303,2322,1758,1179,1326,507,1286,461,1331,296,1266,294,982,232,746,161,522,123,806,322,광진구,화양동
1105054,20354,6989,3344,1735,2952,1521,2497,1013,1730,637,1560,315,1539,306,1636,297,1620,318,1146,234,883,180,543,106,904,327,광진구,군자동
1105055,13662,3420,1048,293,1496,460,1762,565,1320,377,1191,275,1257,280,1375,250,1352,261,973,199,726,151,453,93,709,216,광진구,중곡1동
1105056,18270,3918,1634,403,1935,548,2311,697,1700,466,1705,265,1783,273,1887,260,1707,247,1244,180,927,188,635,120,802,271,광진구,중곡2동
1105057,14672,3671,1235,273,1447,363,1640,492,1319,365,1350,320,1551,363,1609,337,1469,313,1019,232,803,205,469,119,761,289,광진구,중곡3동
1105058,25371,3917,2201,253,2186,277,2677,476,2331,375,2446,341,2772,369,2628,334,2538,338,1874,255,1453,261,974,169,1291,469,광진구,중곡4동
1105059,10000,3442,760,375,1454,757,1698,779,1147,477,853,227,768,195,710,113,783,126,565,102,488,111,292,65,482,115,광진구,능동
1105060,19695,6535,1715,768,2520,1180,2684,1249,1979,854,1839,528,1808,504,1848,332,1683,310,1151,228,925,193,617,132,926,257,광진구,구의1동
1105061,20281,3071,1622,244,1730,281,2145,370,2011,311,2156,270,2075,256,2038,215,1960,225,1511,175,1149,196,786,128,1098,400,광진구,구의2동
1105062,23340,3303,1997,356,2267,463,2561,577,2244,448,2349,231,2551,239,2455,171,2403,172,1539,116,1120,146,784,104,1070,280,광진구,구의3동
1105063,25981,1431,2284,85,1830,75,1953,132,2557,152,4174,110,3958,99,2859,122,2098,92,1368,67,868,83,779,72,1253,342,광진구,광장동
1105064,19986,5060,1750,635,2192,822,2415,820,1948,598,1826,329,1942,328,2030,285,1851,295,1336,228,957,207,677,146,1062,367,광진구,자양1동
