행정동코드,total_all_202310,solo_all_202310,total_20_202310,solo_20_202310,total_25_202310,solo_25_202310,total_30_202310,solo_30_202310,total_35_202310,solo_35_202310,total_40_202310,solo_40_202310,total_45_202310,solo_45_202310,total_50_202310,solo_50_202310,total_55_202310,solo_55_202310,total_60_202310,solo_60_202310,total_65_202310,solo_65_202310,total_70_202310,solo_70_202310,total_75_202310,solo_75_202310,자치구,행정동명
1121068,23844,8471,1849,1123,3016,1890,2808,1427,2140,1010,2274,539,2280,511,2463,414,2205,406,1662,329,1237,241,743,139,1167,442,관악구,신사동
1121069,18648,12320,2087,1836,4550,3958,3414,2689,1825,1388,1314,712,985,508,991,265,989,295,834,245,669,160,370,78,620,186,관악구,신림동
1121071,13075,1745,819,66,901,83,1195,127,1589,152,1710,180,1266,126,1193,155,1213,165,1060,148,823,137,532,96,774,310,관악구,난향동
1121072,18086,6412,1229,680,2352,1355,2155,1140,1673,822,1501,399,1630,433,1834,358,1843,367,1423,290,954,179,604,106,888,283,관악구,조원동
1121073,21645,11058,2316,1662,3709,2657,3113,2004,2287,1386,2043,961,1649,754,1532,410,1479,396,1138,309,918,175,567,98,894,246,관악구,대학동
1121078,29687,6059,2271,722,3008,1052,3400,876,3182,735,3028,416,2673,348,2547,255,2676,292,2292,271,1826,338,1179,216,1605,538,관악구,은천동
1121079,26415,3551,1838,183,1915,213,2402,280,2718,284,3140,241,2729,200,2497,266,2488,297,2056,273,1721,370,1142,244,1769,700,관악구,성현동
1121080,27470,12316,3035,2209,4869,3622,3685,2223,2388,1326,2149,591,1903,498,1980,312,2103,332,1748,302,1447,256,846,151,1317,494,관악구,청룡동
1121081,25242,4760,2284,300,2123,304,2263,438,2150,382,2344,375,2526,392,2725,427,2479,406,1990,356,1679,434,1132,286,1547,660,관악구,난곡동
1121082,22941,3800,1648,111,1679,125,1820,302,1836,281,2080,282,2179,284,2373,307,2470,348,2038,307,1748,367,1233,269,1837,817,관악구,삼성동
1121083,27823,4575,2270,472,2528,599,2630,556,2560,496,2637,375,2547,347,2813,281,2834,301,2428,267,1851,300,1227,200,1498,381,관악구,미성동
1122051,17350,3387,1979,453,1664,409,1912,654,1823,569,1788,291,1537,243,1441,152,1478,160,1225,137,931,99,627,64,945,156,서초구,서초1동
1122052,16122,3699,1072,345,1527,564,2024,753,1883,630,1832,318,1612,270,1463,151,1419,148,1190,129,890,152,519,84,691,155,서초구,서초2동
1122053,24257,4267,2265,528,2609,646,2458,770,1984,568,2141,335,2419,370,2395,208,2310,198,1736,155,1517,155,971,93,1452,241,서초구,서초3동
1122054,20437,1480,1451,143,1425,161,1716,225,2057,225,2875,158,2689,142,2065,45,1768,38,1471,35,1174,73,701,44,1045,191,서초구,서초4동
1122055,25144,3537,1692,245,2146,368,2778,574,2789,521,3387,351,3306,327,2407,214,2029,183,1605,159,1113,172,815,126,1077,297,서초구,잠원동
1122056,8688,690,606,40,417,38,444,102,628,111,1399,67,1536,72,924,38,621,25,545,28,594,51,392,32,582,86,서초구,반포본동
1122057,23630,4978,1593,546,2653,1038,2957,965,2952,866,3022,343,2394,256,2087,215,1800,188,1464,167,1040,115,746,78,922,201,서초구,반포1동
1122058,13126,796,831,60,795,69,938,71,1355,87,2104,58,1902,51,1337,41,1076,32,832,27,764,59,430,32,762,209,서초구,반포2동
1122059,14561,1059,1017,58,968,62,1231,103,1600,116,2170,97,2003,87,1399,68,1240,62,940,50,697,57,520,42,776,257,서초구,반포3동
1122060,15633,1343,1089,88,1218,118,1514,157,1653,150,1821,155,1658,139,1587,92,1400,88,1237,82,960,46,651,31,845,197,서초구,반포4동
1122061,15951,1539,1294,108,1256,117,1274,226,1447,220,1966,128,2141,132,1729,116,1379,94,1053,77,864,77,557,48,991,196,서초구,방배본동
1122062,13629,2392,1136,254,1295,323,1686,460,1485,368,1295,187,1226,171,1201,119,1164,116,1049,110,832,61,511,35,749,188,서초구,방배1동
1122063,22364,3143,1924,306,2160,401,2407,440,2047,340,1958,195,2064,199,2165,181,2274,192,1848,164,1480,239,819,125,1218,361,서초구,방배2동
1122064,18961,1678,1827,140,1803,139,1648,212,1516,176,1542,100,1781,107,2010,143,2149,152,1707,122,1250,89,682,48,1046,250,서초구,방배3동
1122065,19751,3279,1563,291,1777,395,2115,599,1959,510,2185,249,2256,248,1935,154,1699,136,1299,116,1097,157,699,96,1167,328,서초구,방배4동
1122066,35156,5504,2415,353,2845,498,4098,863,4555,856,4037,461,3203,347,3038,345,3138,382,2736,344,2077,343,1317,219,1697,493,서초구,양재1동
1122067,18739,4484,1253,322,2081,610,2600,831,2224,646,2086,479,1676,378,1662,261,1580,249,1260,215,912,152,627,105,778,236,서초구,양재2동
1122068,13429,1601,922,113,955,130,1658,195,1730,182,1275,117,1102,100,1176,108,1222,121,1089,114,941,124,567,78,792,219,서초구,내곡동
1123051,14175,2645,986,246,1370,378,1534,492,1430,421,1531,196,1514,182,1243,108,1096,95,952,85,933,127,568,73,1018,242,강남구,신사동
1123052,21451,9416,1604,912,3212,1797,3732,2259,2739,1591,1942,853,1528,635,1455,280,1486,308,1258,271,967,167,646,116,882,227,강남구,논현1동
1123053,19019,5736,1307,506,2239,885,2758,1364,2384,1097,1977,521,1559,400,1466,201,1426,210,1271,193,1107,100,589,48,936,211,강남구,논현2동
1123058,12168,1577,944,115,1006,147,1217,271,1060,217,1115,133,1284,146,1267,94,1110,82,901,73,809,76,603,56,852,167,강남구,삼성1동
1123059,23073,4697,1540,395,2137,638,2925,1002,2988,933,3130,438,2781,364,1962,204,1597,176,1320,153,1077,103,648,60,968,231,강남구,삼성2동
