ADM_CD,dong_name,통계청코드,도로명코드10,통계청코드8,도로명코드8,도로명코드,시도명,시군구,읍면동
11020600.0,서울특별시 중구 을지로동,1102060,1114060500,11020600.0,11140605,11140605,서울특별시,중구,을지로동
11120680.0,서울특별시 은평구 수색동,1112068,1138065000,11120680.0,11380650,11380650,서울특별시,은평구,수색동
11120710.0,서울특별시 은평구 진관동,1112071,1138069000,11120710.0,11380690,11380690,서울특별시,은평구,진관동
11120720.0,서울특별시 은평구 불광2동,1112072,1138053000,11120720.0,11380530,11380530,서울특별시,은평구,불광제2동
11120730.0,서울특별시 은평구 응암3동,1112073,1138060000,11120730.0,11380600,11380600,서울특별시,은평구,응암제3동
11130520.0,서울특별시 서대문구 천연동,1113052,1141052000,11130520.0,11410520,11410520,서울특별시,서대문구,천연동
11110590.0,서울특별시 노원구 하계2동,1111059,1135061200,11110590.0,11350612,11350612,서울특별시,노원구,하계2동
11130680.0,서울특별시 서대문구 홍은2동,1113068,1141068500,11130680.0,11410685,11410685,서울특별시,서대문구,홍은제2동
11130690.0,서울특별시 서대문구 남가좌1동,1113069,1141069000,11130690.0,11410690,11410690,서울특별시,서대문구,남가좌제1동
11140610.0,서울특별시 마포구 염리동,1114061,1144061000,11140610.0,11440610,11440610,서울특별시,마포구,염리동
11140710.0,서울특별시 마포구 연남동,1114071,1144071000,11140710.0,11440710,11440710,서울특별시,마포구,연남동
11140720.0,서울특별시 마포구 성산1동,1114072,1144072000,11140720.0,11440720,11440720,서울특별시,마포구,성산제1동
11110720.0,서울특별시 노원구 상계8동,1111072,1135070000,11110720.0,11350700,11350700,서울특별시,노원구,상계8동
11110760.0,서울특별시 노원구 상계3·4동,1111076,1135066500,11110760.0,11350665,11350665,서울특별시,노원구,상계34동
11150660.0,서울특별시 양천구 신정3동,1115066,1147064000,11150660.0,11470640,11470640,서울특별시,양천구,신정3동
11230530.0,서울특별시 강남구 논현2동,1123053,1168053100,11230530.0,11680531,11680531,서울특별시,강남구,논현2동
11160640.0,서울특별시 강서구 가양1동,1116064,1150060300,11160640.0,11500603,11500603,서울특별시,강서구,가양제1동
11160670.0,서울특별시 강서구 발산1동,1116067,1150061100,11160670.0,11500611,11500611,서울특별시,강서구,발산제1동
11160690.0,서울특별시 강서구 공항동,1116069,1150062000,11160690.0,11500620,11500620,서울특별시,강서구,공항동
11160700.0,서울특별시 강서구 방화1동,1116070,1150063000,11160700.0,11500630,11500630,서울특별시,강서구,방화제1동
11160710.0,서울특별시 강서구 방화2동,1116071,1150064000,11160710.0,11500640,11500640,서울특별시,강서구,방화제2동
11160720.0,서울특별시 강서구 방화3동,1116072,1150064100,11160720.0,11500641,11500641,서울특별시,강서구,방화제3동
11230600.0,서울특별시 강남구 대치1동,1123060,1168060000,11230600.0,11680600,11680600,서울특별시,강남구,대치1동
11170510.0,서울특별시 구로구 신도림동,1117051,1153051000,11170510.0,11530510,11530510,서울특별시,구로구,신도림동
11170520.0,서울특별시 구로구 구로1동,1117052,1153052000,11170520.0,11530520,11530520,서울특별시,구로구,구로제1동
11170540.0,서울특별시 구로구 구로3동,1117054,1153054000,11170540.0,11530540,11530540,서울특별시,구로구,구로제3동
11170550.0,서울특별시 구로구 구로4동,1117055,1153055000,11170550.0,11530550,11530550,서울특별시,구로구,구로제4동
11170610.0,서울특별시 구로구 고척1동,1117061,1153072000,11170610.0,11530720,11530720,서울특별시,구로구,고척제1동
11170620.0,서울특별시 구로구 고척2동,1117062,1153073000,11170620.0,11530730,11530730,서울특별시,구로구,고척제2동
11180570.0,서울특별시 금천구 시흥1동,1118057,1154567000,11180570.0,11545670,11545670,서울특별시,금천구,시흥제1동
11130720.0,서울특별시 서대문구 북가좌2동,1113072,1141072000,11130720.0,11410720,11410720,서울특별시,서대문구,북가좌제2동
11130730.0,서울특별시 서대문구 충현동,1113073,1141056500,11130730.0,11410565,11410565,서울특별시,서대문구,충현동
11130740.0,서울특별시 서대문구 북아현동,1113074,1141055500,11130740.0,11410555,11410555,서울특별시,서대문구,북아현동
11130750.0,서울특별시 서대문구 신촌동,1113075,1141058500,11130750.0,11410585,11410585,서울특별시,서대문구,신촌동
11180610.0,서울특별시 금천구 시흥5동,1118061,1154571000,11180610.0,11545710,11545710,서울특별시,금천구,시흥제5동
11150540.0,서울특별시 양천구 목4동,1115054,1147054000,11150540.0,11470540,11470540,서울특별시,양천구,목4동
11190560.0,서울특별시 영등포구 당산2동,1119056,1156056000,11190560.0,11560560,11560560,서울특별시,영등포구,당산제2동
11190610.0,서울특별시 영등포구 양평1동,1119061,1156061000,11190610.0,11560610,11560610,서울특별시,영등포구,양평제1동
11190620.0,서울특별시 영등포구 양평2동,1119062,1156062000,11190620.0,11560620,11560620,서울특별시,영등포구,양평제2동
11190630.0,서울특별시 영등포구 신길1동,1119063,1156063000,11190630.0,11560630,11560630,서울특별시,영등포구,신길제1동
11190680.0,서울특별시 영등포구 신길6동,1119068,1156068000,11190680.0,11560680,11560680,서울특별시,영등포구,신길제6동
11190690.0,서울특별시 영등포구 신길7동,1119069,1156069000,11190690.0,11560690,11560690,서울특별시,영등포구,신길제7동
11140700.0,서울특별시 마포구 망원2동,1114070,1144070000,11140700.0,11440700,11440700,서울특별시,마포구,망원제2동
11190720.0,서울특별시 영등포구 대림3동,1119072,1156072000,11190720.0,11560720,11560720,서울특별시,영등포구,대림제3동
11190730.0,서울특별시 영등포구 영등포본동,1119073,1156051500,11190730.0,11560515,11560515,서울특별시,영등포구,영등포본동
11190740.0,서울특별시 영등포구 영등포동,1119074,1156053500,11190740.0,11560535,11560535,서울특별시,영등포구,영등포동
11190750.0,서울특별시 영등포구 도림동,1119075,1156058500,11190750.0,11560585,11560585,서울특별시,영등포구,도림동
