구동,동물미용업 동물미용업,동물병원 동물병원,동물약국 동물약국,미용업 기타,미용업 네일아트업,미용업 메이크업업,미용업 숙박업 기타,미용업 일반미용업,미용업 일반이용업,미용업 피부미용업,병원 병원,병원 요양병원(노인병원),병원 요양병원(일반요양병원),병원 정신병원,병원 종합병원,병원 치과병원,병원 한방병원,세탁업 빨래방업,세탁업 세탁업 기타,세탁업 운동화전문세탁업,세탁업 일반세탁업,약국 약국,영화상영관 영화상영관,의원 보건소,의원 보건지소,의원 의원,의원 조산원,의원 치과의원,의원 한의원,이용업 이용업 기타,이용업 일반이용업,일반음식점 감성주점,일반음식점 경양식,일반음식점 기타,일반음식점 김밥(도시락),일반음식점 까페,일반음식점 냉면집,일반음식점 라이브카페,일반음식점 복어취급,일반음식점 분식,일반음식점 뷔페식,일반음식점 식육(숯불구이),"일반음식점 외국음식전문점(인도,태국등)",일반음식점 이동조리,일반음식점 일반음식점,일반음식점 일식,일반음식점 전통찻집,일반음식점 정종/대포집/소주방,일반음식점 중국식,일반음식점 출장조리,일반음식점 커피숍,일반음식점 키즈카페,일반음식점 탕류(보신용),일반음식점 통닭(치킨),일반음식점 패밀리레스트랑,일반음식점 패스트푸드,일반음식점 한식,일반음식점 호프/통닭,일반음식점 횟집,제과점영업 제과점영업,제과점영업 푸드트럭,휴게음식점 고속도로,휴게음식점 공항,휴게음식점 과자점,휴게음식점 관광호텔,휴게음식점 극장,휴게음식점 기타 휴게음식점,휴게음식점 다방,휴게음식점 단란주점,휴게음식점 떡카페,휴게음식점 백화점,휴게음식점 아이스크림,휴게음식점 유원지,휴게음식점 일반조리판매,휴게음식점 전통찻집,휴게음식점 철도역구내,휴게음식점 커피숍,휴게음식점 키즈카페,휴게음식점 패스트푸드,휴게음식점 편의점,휴게음식점 푸드트럭,휴게음식점 호프/통닭,동물미용업,동물병원,동물약국,미용업,병원,세탁업,약국,영화상영관,의원,이용업,일반음식점,제과점영업,휴게음식점
강남구 개포1동,12.0,10.0,11.0,4.0,11.0,1.0,0.0,82.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,34.0,0.0,0.0,0.0,58.0,0.0,28.0,17.0,0.0,14.0,1.0,39.0,44.0,2.0,2.0,0.0,1.0,0.0,47.0,3.0,1.0,3.0,0.0,0.0,20.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,11.0,3.0,4.0,189.0,15.0,2.0,19.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,21.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,57.0,0.0,17.0,29.0,0.0,0.0,12.0,10.0,11.0,114.0,1.0,28.0,34.0,0.0,103.0,14.0,401.0,19.0,164.0
강남구 개포2동,16.0,14.0,21.0,5.0,21.0,4.0,0.0,129.0,0.0,22.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,39.0,60.0,0.0,0.0,0.0,80.0,0.0,42.0,26.0,0.0,19.0,1.0,57.0,63.0,5.0,3.0,0.0,1.0,0.0,79.0,3.0,1.0,5.0,0.0,0.0,31.0,1.0,1.0,21.0,1.0,0.0,0.0,0.0,21.0,3.0,5.0,291.0,28.0,3.0,33.0,0.0,0.0,0.0,7.0,0.0,0.0,20.0,27.0,0.0,1.0,0.0,1.0,0.0,32.0,0.0,0.0,94.0,0.0,27.0,45.0,0.0,0.0,16.0,14.0,21.0,181.0,2.0,41.0,60.0,0.0,148.0,19.0,624.0,33.0,254.0
강남구 개포3동,25.0,20.0,45.0,12.0,65.0,10.0,0.0,304.0,0.0,89.0,2.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,0.0,0.0,66.0,110.0,0.0,0.0,0.0,197.0,0.0,108.0,63.0,0.0,34.0,6.0,227.0,211.0,23.0,12.0,1.0,3.0,0.0,221.0,8.0,6.0,31.0,0.0,1.0,146.0,5.0,3.0,81.0,3.0,0.0,0.0,3.0,46.0,5.0,26.0,890.0,69.0,5.0,74.0,0.0,0.0,0.0,19.0,0.0,0.0,73.0,74.0,0.0,4.0,23.0,3.0,0.0,94.0,2.0,0.0,301.0,0.0,64.0,127.0,5.0,0.0,25.0,20.0,45.0,480.0,6.0,68.0,110.0,0.0,368.0,34.0,2032.0,74.0,789.0
강남구 개포4동,12.0,10.0,11.0,4.0,11.0,1.0,0.0,82.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,27.0,34.0,0.0,0.0,0.0,58.0,0.0,28.0,17.0,0.0,14.0,1.0,39.0,44.0,2.0,2.0,0.0,1.0,0.0,47.0,3.0,1.0,3.0,0.0,0.0,20.0,0.0,1.0,12.0,1.0,0.0,0.0,0.0,11.0,3.0,4.0,189.0,15.0,2.0,19.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,21.0,0.0,1.0,0.0,1.0,0.0,21.0,0.0,0.0,57.0,0.0,17.0,29.0,0.0,0.0,12.0,10.0,11.0,114.0,1.0,28.0,34.0,0.0,103.0,14.0,401.0,19.0,164.0
강남구 논현1동,39.0,12.0,35.0,3.0,74.0,44.0,0.0,218.0,0.0,139.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,51.0,77.0,19.0,0.0,0.0,314.0,0.0,62.0,36.0,0.0,12.0,11.0,317.0,320.0,20.0,17.0,0.0,5.0,1.0,138.0,12.0,17.0,29.0,0.0,0.0,143.0,5.0,8.0,57.0,4.0,0.0,0.0,3.0,23.0,4.0,28.0,827.0,59.0,7.0,49.0,0.0,0.0,0.0,5.0,1.0,0.0,38.0,44.0,0.0,2.0,1.0,6.0,0.0,89.0,1.0,2.0,218.0,0.0,27.0,100.0,0.0,0.0,39.0,12.0,35.0,478.0,16.0,52.0,77.0,19.0,412.0,12.0,2055.0,49.0,534.0
강남구 논현2동,39.0,12.0,35.0,3.0,74.0,44.0,0.0,218.0,0.0,139.0,9.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,1.0,0.0,51.0,77.0,19.0,0.0,0.0,314.0,0.0,62.0,36.0,0.0,12.0,11.0,317.0,320.0,20.0,17.0,0.0,5.0,1.0,138.0,12.0,17.0,29.0,0.0,0.0,143.0,5.0,8.0,57.0,4.0,0.0,0.0,3.0,23.0,4.0,28.0,827.0,59.0,7.0,49.0,0.0,0.0,0.0,5.0,1.0,0.0,38.0,44.0,0.0,2.0,1.0,6.0,0.0,89.0,1.0,2.0,218.0,0.0,27.0,100.0,0.0,0.0,39.0,12.0,35.0,478.0,16.0,52.0,77.0,19.0,412.0,12.0,2055.0,49.0,534.0
강남구 대치1동,9.0,6.0,24.0,7.0,44.0,6.0,0.0,175.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,50.0,0.0,0.0,0.0,117.0,0.0,66.0,37.0,0.0,15.0,5.0,170.0,148.0,18.0,9.0,1.0,2.0,0.0,142.0,5.0,5.0,26.0,0.0,1.0,115.0,4.0,2.0,60.0,2.0,0.0,0.0,3.0,25.0,2.0,21.0,599.0,41.0,2.0,41.0,0.0,0.0,0.0,12.0,0.0,0.0,53.0,47.0,0.0,3.0,23.0,2.0,0.0,62.0,2.0,0.0,207.0,0.0,37.0,82.0,5.0,0.0,9.0,6.0,24.0,299.0,4.0,27.0,50.0,0.0,220.0,15.0,1408.0,41.0,535.0
강남구 대치2동,9.0,6.0,24.0,7.0,44.0,6.0,0.0,175.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,50.0,0.0,0.0,0.0,117.0,0.0,66.0,37.0,0.0,15.0,5.0,170.0,148.0,18.0,9.0,1.0,2.0,0.0,142.0,5.0,5.0,26.0,0.0,1.0,115.0,4.0,2.0,60.0,2.0,0.0,0.0,3.0,25.0,2.0,21.0,599.0,41.0,2.0,41.0,0.0,0.0,0.0,12.0,0.0,0.0,53.0,47.0,0.0,3.0,23.0,2.0,0.0,62.0,2.0,0.0,207.0,0.0,37.0,82.0,5.0,0.0,9.0,6.0,24.0,299.0,4.0,27.0,50.0,0.0,220.0,15.0,1408.0,41.0,535.0
강남구 대치4동,9.0,6.0,24.0,7.0,44.0,6.0,0.0,175.0,0.0,67.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,27.0,50.0,0.0,0.0,0.0,117.0,0.0,66.0,37.0,0.0,15.0,5.0,170.0,148.0,18.0,9.0,1.0,2.0,0.0,142.0,5.0,5.0,26.0,0.0,1.0,115.0,4.0,2.0,60.0,2.0,0.0,0.0,3.0,25.0,2.0,21.0,599.0,41.0,2.0,41.0,0.0,0.0,0.0,12.0,0.0,0.0,53.0,47.0,0.0,3.0,23.0,2.0,0.0,62.0,2.0,0.0,207.0,0.0,37.0,82.0,5.0,0.0,9.0,6.0,24.0,299.0,4.0,27.0,50.0,0.0,220.0,15.0,1408.0,41.0,535.0
강남구 도곡1동,4.0,4.0,21.0,1.0,19.0,2.0,0.0,63.0,0.0,30.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,7.0,0.0,0.0,65.0,0.0,31.0,20.0,1.0,11.0,0.0,94.0,70.0,4.0,5.0,0.0,0.0,2.0,28.0,1.0,4.0,8.0,0.0,0.0,32.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,6.0,4.0,8.0,190.0,15.0,1.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,17.0,0.0,0.0,7.0,1.0,0.0,82.0,0.0,0.0,66.0,0.0,20.0,30.0,0.0,0.0,4.0,4.0,21.0,115.0,4.0,16.0,34.0,7.0,116.0,12.0,494.0,31.0,247.0
강남구 도곡2동,4.0,4.0,21.0,1.0,19.0,2.0,0.0,63.0,0.0,30.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,16.0,34.0,7.0,0.0,0.0,65.0,0.0,31.0,20.0,1.0,11.0,0.0,94.0,70.0,4.0,5.0,0.0,0.0,2.0,28.0,1.0,4.0,8.0,0.0,0.0,32.0,1.0,1.0,20.0,0.0,0.0,0.0,0.0,6.0,4.0,8.0,190.0,15.0,1.0,31.0,0.0,0.0,0.0,4.0,0.0,0.0,20.0,17.0,0.0,0.0,7.0,1.0,0.0,82.0,0.0,0.0,66.0,0.0,20.0,30.0,0.0,0.0,4.0,4.0,21.0,115.0,4.0,16.0,34.0,7.0,116.0,12.0,494.0,31.0,247.0
강남구 삼성1동,13.0,8.0,16.0,1.0,34.0,11.0,0.0,104.0,0.0,57.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,37.0,34.0,1.0,0.0,96.0,0.0,41.0,25.0,0.0,16.0,4.0,209.0,187.0,9.0,17.0,0.0,1.0,0.0,80.0,7.0,9.0,20.0,1.0,0.0,92.0,3.0,3.0,41.0,0.0,0.0,0.0,1.0,12.0,1.0,17.0,489.0,23.0,0.0,65.0,0.0,0.0,0.0,17.0,1.0,0.0,37.0,64.0,0.0,1.0,58.0,4.0,0.0,47.0,0.0,5.0,169.0,0.0,37.0,72.0,23.0,0.0,13.0,8.0,16.0,207.0,5.0,28.0,37.0,34.0,163.0,16.0,1226.0,65.0,535.0
강남구 삼성2동,13.0,8.0,16.0,1.0,34.0,11.0,0.0,104.0,0.0,57.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,28.0,37.0,34.0,1.0,0.0,96.0,0.0,41.0,25.0,0.0,16.0,4.0,209.0,187.0,9.0,17.0,0.0,1.0,0.0,80.0,7.0,9.0,20.0,1.0,0.0,92.0,3.0,3.0,41.0,0.0,0.0,0.0,1.0,12.0,1.0,17.0,489.0,23.0,0.0,65.0,0.0,0.0,0.0,17.0,1.0,0.0,37.0,64.0,0.0,1.0,58.0,4.0,0.0,47.0,0.0,5.0,169.0,0.0,37.0,72.0,23.0,0.0,13.0,8.0,16.0,207.0,5.0,28.0,37.0,34.0,163.0,16.0,1226.0,65.0,535.0
강남구 세곡동,3.0,3.0,10.0,0.0,9.0,0.0,0.0,32.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,0.0,20.0,0.0,7.0,3.0,0.0,3.0,0.0,13.0,34.0,2.0,1.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,10.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,93.0,21.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,2.0,0.0,1.0,0.0,1.0,0.0,11.0,0.0,0.0,44.0,0.0,9.0,25.0,0.0,0.0,3.0,3.0,10.0,44.0,1.0,6.0,13.0,0.0,30.0,3.0,194.0,8.0,103.0
강남구 수서동,1.0,1.0,6.0,0.0,2.0,0.0,0.0,31.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,14.0,0.0,0.0,0.0,28.0,0.0,7.0,5.0,0.0,3.0,0.0,5.0,14.0,4.0,0.0,0.0,0.0,0.0,23.0,1.0,1.0,3.0,0.0,0.0,12.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,105.0,7.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,10.0,0.0,0.0,0.0,1.0,0.0,12.0,0.0,4.0,28.0,0.0,7.0,13.0,0.0,0.0,1.0,1.0,6.0,39.0,0.0,7.0,14.0,0.0,40.0,3.0,188.0,8.0,82.0
강남구 신사동,17.0,11.0,47.0,7.0,85.0,64.0,0.0,292.0,0.0,146.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,85.0,17.0,0.0,0.0,503.0,0.0,99.0,44.0,0.0,9.0,28.0,559.0,347.0,13.0,19.0,1.0,6.0,0.0,114.0,7.0,16.0,56.0,0.0,0.0,230.0,0.0,16.0,54.0,4.0,0.0,2.0,1.0,11.0,10.0,32.0,614.0,29.0,0.0,122.0,0.0,0.0,0.0,12.0,1.0,0.0,51.0,61.0,0.0,3.0,41.0,9.0,0.0,46.0,2.0,4.0,202.0,0.0,19.0,63.0,1.0,0.0,17.0,11.0,47.0,594.0,7.0,30.0,85.0,17.0,646.0,9.0,2169.0,122.0,515.0
강남구 신사제1동,14.0,9.0,43.0,6.0,76.0,64.0,0.0,271.0,0.0,143.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,79.0,17.0,0.0,0.0,498.0,0.0,96.0,40.0,0.0,9.0,28.0,541.0,332.0,12.0,19.0,1.0,5.0,0.0,100.0,7.0,16.0,53.0,0.0,0.0,216.0,0.0,15.0,49.0,4.0,0.0,2.0,1.0,10.0,10.0,32.0,582.0,28.0,0.0,73.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,55.0,0.0,3.0,0.0,8.0,0.0,30.0,2.0,1.0,184.0,0.0,15.0,58.0,1.0,0.0,14.0,9.0,43.0,560.0,7.0,20.0,79.0,17.0,634.0,9.0,2063.0,73.0,395.0
강남구 신사제2동,14.0,9.0,43.0,6.0,76.0,64.0,0.0,271.0,0.0,143.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,20.0,79.0,17.0,0.0,0.0,498.0,0.0,96.0,40.0,0.0,9.0,28.0,541.0,332.0,12.0,19.0,1.0,5.0,0.0,100.0,7.0,16.0,53.0,0.0,0.0,216.0,0.0,15.0,49.0,4.0,0.0,2.0,1.0,10.0,10.0,32.0,582.0,28.0,0.0,73.0,0.0,0.0,0.0,5.0,0.0,0.0,33.0,55.0,0.0,3.0,0.0,8.0,0.0,30.0,2.0,1.0,184.0,0.0,15.0,58.0,1.0,0.0,14.0,9.0,43.0,560.0,7.0,20.0,79.0,17.0,634.0,9.0,2063.0,73.0,395.0
강남구 압구정동,17.0,11.0,47.0,7.0,85.0,64.0,0.0,292.0,0.0,146.0,2.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,30.0,85.0,17.0,0.0,0.0,503.0,0.0,99.0,44.0,0.0,9.0,28.0,559.0,347.0,13.0,19.0,1.0,6.0,0.0,114.0,7.0,16.0,56.0,0.0,0.0,230.0,0.0,16.0,54.0,4.0,0.0,2.0,1.0,11.0,10.0,32.0,614.0,29.0,0.0,122.0,0.0,0.0,0.0,12.0,1.0,0.0,51.0,61.0,0.0,3.0,41.0,9.0,0.0,46.0,2.0,4.0,202.0,0.0,19.0,63.0,1.0,0.0,17.0,11.0,47.0,594.0,7.0,30.0,85.0,17.0,646.0,9.0,2169.0,122.0,515.0
강남구 역삼1동,31.0,13.0,53.0,7.0,104.0,56.0,0.0,224.0,0.0,174.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,63.0,99.0,19.0,0.0,0.0,335.0,0.0,116.0,49.0,0.0,19.0,11.0,472.0,417.0,22.0,24.0,0.0,5.0,1.0,207.0,14.0,17.0,48.0,0.0,0.0,212.0,2.0,16.0,123.0,4.0,0.0,1.0,5.0,23.0,3.0,35.0,1438.0,74.0,9.0,67.0,0.0,0.0,0.0,9.0,0.0,0.0,69.0,131.0,0.0,2.0,1.0,5.0,0.0,99.0,0.0,5.0,359.0,0.0,62.0,159.0,5.0,0.0,31.0,13.0,53.0,565.0,4.0,64.0,99.0,19.0,500.0,19.0,3183.0,67.0,906.0
강남구 역삼2동,31.0,13.0,53.0,7.0,104.0,56.0,0.0,224.0,0.0,174.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,63.0,99.0,19.0,0.0,0.0,335.0,0.0,116.0,49.0,0.0,19.0,11.0,472.0,417.0,22.0,24.0,0.0,5.0,1.0,207.0,14.0,17.0,48.0,0.0,0.0,212.0,2.0,16.0,123.0,4.0,0.0,1.0,5.0,23.0,3.0,35.0,1438.0,74.0,9.0,67.0,0.0,0.0,0.0,9.0,0.0,0.0,69.0,131.0,0.0,2.0,1.0,5.0,0.0,99.0,0.0,5.0,359.0,0.0,62.0,159.0,5.0,0.0,31.0,13.0,53.0,565.0,4.0,64.0,99.0,19.0,500.0,19.0,3183.0,67.0,906.0
강남구 일원1동,5.0,5.0,16.0,1.0,12.0,3.0,0.0,78.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,40.0,0.0,0.0,0.0,50.0,0.0,21.0,14.0,0.0,8.0,0.0,23.0,33.0,7.0,1.0,0.0,0.0,0.0,55.0,1.0,1.0,5.0,0.0,0.0,23.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,207.0,20.0,1.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,4.0,65.0,0.0,17.0,29.0,0.0,0.0,5.0,5.0,16.0,106.0,1.0,20.0,40.0,0.0,85.0,8.0,411.0,22.0,172.0
강남구 일원본동,5.0,5.0,16.0,1.0,12.0,3.0,0.0,78.0,0.0,12.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,19.0,40.0,0.0,0.0,0.0,50.0,0.0,21.0,14.0,0.0,8.0,0.0,23.0,33.0,7.0,1.0,0.0,0.0,0.0,55.0,1.0,1.0,5.0,0.0,0.0,23.0,1.0,0.0,17.0,0.0,0.0,0.0,0.0,14.0,0.0,2.0,207.0,20.0,1.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,14.0,16.0,0.0,0.0,0.0,1.0,0.0,23.0,0.0,4.0,65.0,0.0,17.0,29.0,0.0,0.0,5.0,5.0,16.0,106.0,1.0,20.0,40.0,0.0,85.0,8.0,411.0,22.0,172.0
강남구 청담동,13.0,13.0,15.0,5.0,32.0,25.0,0.0,209.0,0.0,88.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,22.0,29.0,0.0,0.0,0.0,198.0,0.0,33.0,20.0,0.0,7.0,9.0,301.0,132.0,5.0,9.0,0.0,7.0,0.0,42.0,3.0,6.0,18.0,0.0,0.0,119.0,0.0,5.0,18.0,4.0,0.0,0.0,0.0,6.0,1.0,10.0,266.0,13.0,1.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,12.0,20.0,0.0,1.0,0.0,0.0,0.0,19.0,2.0,0.0,77.0,1.0,7.0,40.0,0.0,0.0,13.0,13.0,15.0,359.0,4.0,22.0,29.0,0.0,251.0,7.0,975.0,26.0,184.0
강동구 강일동,3.0,2.0,10.0,0.0,0.0,1.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,17.0,0.0,0.0,0.0,17.0,0.0,12.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,4.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,23.0,13.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,0.0,4.0,16.0,0.0,0.0,3.0,2.0,10.0,29.0,0.0,7.0,17.0,0.0,29.0,1.0,62.0,7.0,45.0
강동구 고덕제1동,8.0,5.0,7.0,1.0,13.0,5.0,0.0,72.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,20.0,0.0,12.0,3.0,0.0,12.0,0.0,14.0,27.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,2.0,3.0,0.0,0.0,10.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,90.0,26.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,52.0,0.0,4.0,21.0,0.0,0.0,8.0,5.0,7.0,103.0,1.0,9.0,15.0,0.0,35.0,12.0,226.0,15.0,103.0
강동구 고덕제2동,8.0,5.0,7.0,1.0,13.0,5.0,0.0,72.0,0.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,15.0,0.0,0.0,0.0,20.0,0.0,12.0,3.0,0.0,12.0,0.0,14.0,27.0,0.0,0.0,1.0,0.0,0.0,23.0,2.0,2.0,3.0,0.0,0.0,10.0,0.0,2.0,11.0,2.0,0.0,0.0,0.0,12.0,0.0,0.0,90.0,26.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,2.0,0.0,9.0,0.0,0.0,52.0,0.0,4.0,21.0,0.0,0.0,8.0,5.0,7.0,103.0,1.0,9.0,15.0,0.0,35.0,12.0,226.0,15.0,103.0
강동구 길동,9.0,8.0,11.0,2.0,31.0,7.0,0.0,134.0,0.0,28.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,38.0,0.0,0.0,0.0,40.0,0.0,22.0,10.0,0.0,16.0,0.0,16.0,49.0,3.0,4.0,0.0,4.0,0.0,37.0,0.0,10.0,6.0,0.0,0.0,25.0,0.0,11.0,25.0,0.0,0.0,0.0,1.0,9.0,0.0,3.0,303.0,76.0,7.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,15.0,0.0,0.0,49.0,0.0,13.0,40.0,0.0,0.0,9.0,8.0,11.0,202.0,2.0,15.0,38.0,0.0,72.0,16.0,589.0,19.0,127.0
강동구 둔촌제1동,5.0,4.0,7.0,0.0,9.0,0.0,0.0,54.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,18.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,7.0,0.0,8.0,29.0,0.0,3.0,2.0,1.0,0.0,16.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,99.0,16.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,33.0,0.0,2.0,20.0,0.0,0.0,5.0,4.0,7.0,73.0,1.0,8.0,18.0,0.0,17.0,7.0,190.0,7.0,74.0
강동구 둔촌제2동,5.0,4.0,7.0,0.0,9.0,0.0,0.0,54.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,7.0,18.0,0.0,0.0,0.0,8.0,0.0,8.0,1.0,0.0,7.0,0.0,8.0,29.0,0.0,3.0,2.0,1.0,0.0,16.0,2.0,1.0,2.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,99.0,16.0,0.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,33.0,0.0,2.0,20.0,0.0,0.0,5.0,4.0,7.0,73.0,1.0,8.0,18.0,0.0,17.0,7.0,190.0,7.0,74.0
강동구 명일제1동,10.0,3.0,28.0,0.0,24.0,5.0,0.0,107.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,0.0,0.0,0.0,55.0,0.0,35.0,13.0,1.0,9.0,0.0,26.0,36.0,6.0,2.0,1.0,1.0,0.0,47.0,1.0,4.0,2.0,0.0,0.0,19.0,0.0,4.0,14.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,170.0,33.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,1.0,2.0,1.0,0.0,26.0,0.0,0.0,70.0,2.0,14.0,18.0,0.0,0.0,10.0,3.0,28.0,162.0,0.0,11.0,39.0,0.0,103.0,10.0,383.0,22.0,158.0
강동구 명일제2동,10.0,3.0,28.0,0.0,24.0,5.0,0.0,107.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,39.0,0.0,0.0,0.0,55.0,0.0,35.0,13.0,1.0,9.0,0.0,26.0,36.0,6.0,2.0,1.0,1.0,0.0,47.0,1.0,4.0,2.0,0.0,0.0,19.0,0.0,4.0,14.0,1.0,0.0,1.0,0.0,8.0,0.0,3.0,170.0,33.0,4.0,22.0,0.0,0.0,0.0,1.0,0.0,0.0,23.0,0.0,0.0,1.0,2.0,1.0,0.0,26.0,0.0,0.0,70.0,2.0,14.0,18.0,0.0,0.0,10.0,3.0,28.0,162.0,0.0,11.0,39.0,0.0,103.0,10.0,383.0,22.0,158.0
강동구 상일제1동,3.0,2.0,5.0,0.0,4.0,1.0,0.0,21.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,9.0,9.0,0.0,0.0,0.0,2.0,0.0,3.0,1.0,0.0,3.0,0.0,8.0,27.0,1.0,2.0,0.0,0.0,0.0,15.0,1.0,4.0,0.0,0.0,0.0,7.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,78.0,17.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,2.0,0.0,1.0,0.0,10.0,0.0,0.0,43.0,0.0,10.0,19.0,0.0,0.0,3.0,2.0,5.0,30.0,1.0,9.0,9.0,0.0,6.0,3.0,183.0,10.0,93.0
