,2022_all,2022_20s,2022_30s
ADM_CD,11102641.0,11092670.0,11219607.0
solo_all_ratio,53.0,43.0,33.0
solo_20s_ratio,22.0,32.0,13.0
solo_30s_ratio,12.0,9.0,21.0
네일숍,33.0,24.0,62.0
미용실,158.0,124.0,199.0
애완동물,30.0,18.0,56.0
분식전문점,148.0,71.0,143.0
한식음식점,660.0,310.0,806.0
양식음식점,184.0,90.0,260.0
일식음식점,81.0,39.0,121.0
중식음식점,56.0,29.0,75.0
치킨전문점,22.0,17.0,25.0
커피-음료,22.0,15.0,15.0
패스트푸드점,34.0,17.0,60.0
제과점,33.0,22.0,50.0
호프-간이주점,34.0,27.0,15.0
대형마트,0.0,0.0,0.0
쇼핑업체수,2.0,1.0,1.0
편의점,66.0,35.0,88.0
슈퍼마켓,0.0,0.0,0.0
사업체수,7170.0,2388.0,9362.0
종사자수,52307.0,13399.0,70676.0
지가변동률,5.0,5.0,6.0
지가,97.0,98.0,95.0
대학교,1.0,1.0,0.0
기타대학,0.0,0.0,0.0
