,2023_all,2023_20s,2023_30s
ADM_CD,11115644.0,11079676.0,11199617.0
solo_all_ratio,54.0,42.0,35.0
solo_20s_ratio,21.0,32.0,13.0
solo_30s_ratio,13.0,8.0,21.0
네일숍,36.0,20.0,58.0
미용실,159.0,91.0,179.0
애완동물,34.0,14.0,51.0
분식전문점,146.0,52.0,120.0
한식음식점,698.0,233.0,697.0
양식음식점,183.0,66.0,222.0
일식음식점,87.0,29.0,107.0
중식음식점,58.0,24.0,67.0
치킨전문점,20.0,15.0,21.0
커피-음료,22.0,12.0,12.0
패스트푸드점,33.0,14.0,47.0
제과점,38.0,17.0,47.0
호프-간이주점,35.0,20.0,15.0
대형마트,0.0,0.0,0.0
쇼핑업체수,3.0,1.0,2.0
편의점,73.0,27.0,73.0
슈퍼마켓,0.0,0.0,1.0
사업체수,8535.0,2291.0,8456.0
종사자수,55421.0,13080.0,63781.0
지가변동률,7.0,7.0,9.0
지가,99.0,99.0,98.0
대학교,0.0,1.0,0.0
기타대학,0.0,0.0,0.0
