var,c_67_ols,p_67_ols,c_67_fwd,p_67_fwd,c_67,p_67
일반음식점,-0.404,+,-0.331,+,-0.365,+
세탁업,-0.325, ,-0.311, ,,
편의점,-0.27, ,-0.229, ,-0.458,+
사업체수,-0.195,+,-0.203,+,-0.159,+
안심귀갓길,-0.16,+,-0.164,+,-0.164,+
금융기관,-0.032, ,-0.059, ,,
상수,0.0, ,0.0, ,0.0, 
대형마트,0.084, ,0.095,+,0.084,+
노인복지시설,0.268,+,0.307,+,0.286,+
반려동물업,0.502,+,0.562,+,0.527,+
지가상승률,-0.045, ,,,,
대학교,-0.016, ,,,,
미용업,-0.01, ,,,,
병원,0.017, ,,,,
약국,0.025, ,,,,
영화상영관,-0.017, ,,,,
이용업,0.136, ,,,,
카페,0.078, ,,,,
쇼핑,-0.015, ,,,,
