var,c_30_ols,p_30_ols,c_30_fwd,p_30_fwd,c_30,p_30
이용업,-0.422,+,-0.397,+,-0.343,+
노인복지시설,-0.362,+,-0.347,+,-0.327,+
카페,-0.215, ,-0.189, ,,
대학교,-0.057, ,-0.059, ,,
상수,0.0, ,0.0, ,0.0, 
안심귀갓길,0.087,+,0.089,+,0.092,+
지가상승률,0.108,+,0.098,+,0.1,+
금융기관,0.116,+,0.104,+,0.104,+
사업체수,0.276,+,0.26,+,0.257,+
일반음식점,0.378,+,0.413,+,0.226,+
세탁업,0.583,+,0.539,+,0.499,+
반려동물업,0.055, ,,,,
미용업,0.198, ,,,,
병원,-0.034, ,,,,
약국,-0.189, ,,,,
영화상영관,0.028, ,,,,
편의점,-0.011, ,,,,
쇼핑,0.018, ,,,,
대형마트,-0.025, ,,,,
