var,c_20_ols,p_20_ols,c_20_fwd,p_20_fwd,c_20,p_20
반려동물업,-0.786,+,-0.815,+,-0.783,+
노인복지시설,-0.135, ,-0.141, ,-0.15,+
대형마트,-0.09, ,-0.092,+,-0.089,+
금융기관,-0.101, ,-0.088, ,,
지가상승률,-0.068, ,-0.071, ,,
상수,-0.0, ,-0.0, ,-0.0, 
사업체수,0.058, ,0.062, ,,
대학교,0.137,+,0.132,+,0.144,+
카페,0.077, ,0.16, ,,
안심귀갓길,0.176,+,0.181,+,0.192,+
약국,0.371,+,0.375,+,0.383,+
편의점,0.387, ,0.391,+,0.509,+
미용업,0.075, ,,,,
병원,-0.068, ,,,,
세탁업,0.018, ,,,,
영화상영관,0.007, ,,,,
이용업,-0.091, ,,,,
일반음식점,0.096, ,,,,
쇼핑,0.023, ,,,,
