var,c_2023_all_ols,p_2023_all_ols,c_2023_all_fwd,p_2023_all_fwd,c_2023_all,p_2023_all
애완동물,-0.737,+,-0.664,+,-0.625,+
제과점,-0.277,+,-0.32,+,-0.315,+
종사자수,-0.282,+,-0.259,+,-0.296,+
치킨전문점,-0.074, ,-0.133, ,,
대학교,0.156,+,0.165,+,0.169,+
분식전문점,0.337,+,0.192,+,,
양식음식점,0.216,+,0.252,+,0.337,+
편의점,0.442,+,0.43,+,0.513,+
미용실,0.331, ,0.486,+,0.347,+
사업체수,0.538,+,0.517,+,0.557,+
네일숍,0.154, ,,,,
한식음식점,-0.107, ,,,,
일식음식점,0.052, ,,,,
중식음식점,-0.054, ,,,,
커피-음료,0.04, ,,,,
패스트푸드점,-0.094, ,,,,
호프-간이주점,0.071, ,,,,
대형마트,0.036, ,,,,
쇼핑업체수,-0.091, ,,,,
슈퍼마켓,0.037, ,,,,
지가변동률,0.035, ,,,,
지가,0.012, ,,,,
기타대학,0.048, ,,,,
