var,c_2024_30_ols,p_2024_30_ols,c_2024_30_fwd,p_2024_30_fwd,c_2024_30,p_2024_30
한식음식점,-0.398,+,-0.434,+,-0.355,+
제과점,-0.283,+,-0.31,+,-0.305,+
치킨전문점,-0.202, ,-0.186, ,,
지가,-0.157,+,-0.168,+,-0.178,+
대학교,-0.058, ,-0.063, ,,
분식전문점,0.009, ,-0.035, ,,
호프-간이주점,0.125, ,0.118, ,,
양식음식점,0.159,+,0.143,+,0.143,+
네일숍,0.353,+,0.264,+,0.322,+
편의점,0.37,+,0.278,+,,
사업체수,0.448,+,0.32,+,0.316,+
일식음식점,0.295,+,0.342,+,0.382,+
지가변동률,0.34,+,0.37,+,0.398,+
미용실,-0.242, ,,,,
애완동물,-0.023, ,,,,
중식음식점,0.038, ,,,,
커피-음료,-0.023, ,,,,
패스트푸드점,0.062, ,,,,
대형마트,0.068, ,,,,
쇼핑업체수,-0.137,+,,,,
슈퍼마켓,-0.018, ,,,,
종사자수,-0.171, ,,,,
기타대학,-0.05, ,,,,
