var,c_2022_20_ols,p_2022_20_ols,c_2022_20_fwd,p_2022_20_fwd,c_2022_20,p_2022_20
애완동물,-0.461,+,-0.444,+,-0.388,+
쇼핑업체수,-0.157,+,-0.119,+,-0.122,+
기타대학,0.083, ,0.082, ,,
지가변동률,0.131, ,0.098,+,0.103,+
양식음식점,0.121, ,0.146,+,0.138,+
사업체수,0.323,+,0.167,+,0.111,+
미용실,0.015, ,0.362,+,,
대학교,0.437,+,0.436,+,0.447,+
네일숍,0.291,+,,,0.256,+
제과점,-0.192, ,,,-0.257,+
편의점,0.327,+,,,0.296,+
분식전문점,0.316, ,,,,
한식음식점,-0.58,+,,,,
일식음식점,0.257, ,,,,
중식음식점,-0.04, ,,,,
치킨전문점,0.047, ,,,,
커피-음료,0.034, ,,,,
패스트푸드점,-0.091, ,,,,
호프-간이주점,0.07, ,,,,
대형마트,0.055, ,,,,
슈퍼마켓,0.007, ,,,,
종사자수,-0.198, ,,,,
지가,0.025, ,,,,
