var,c_2024_20_ols,p_2024_20_ols,c_2024_20_fwd,p_2024_20_fwd,c_2024_20,p_2024_20
애완동물,-0.563,+,-0.594,+,-0.596,+
종사자수,-0.232,+,-0.253,+,-0.263,+
쇼핑업체수,-0.164,+,-0.172,+,-0.208,+
제과점,-0.167, ,-0.157, ,,
미용실,0.029, ,0.054, ,,
대형마트,0.061, ,0.062, ,,
기타대학,0.071, ,0.073, ,,
지가변동률,0.08, ,0.079, ,,
양식음식점,0.115, ,0.163,+,0.131,+
네일숍,0.339,+,0.305,+,0.266,+
사업체수,0.309,+,0.309,+,0.346,+
편의점,0.392,+,0.349,+,0.329,+
대학교,0.441,+,0.441,+,0.438,+
분식전문점,0.209, ,,,,
한식음식점,-0.324, ,,,,
일식음식점,0.077, ,,,,
중식음식점,-0.022, ,,,,
치킨전문점,-0.027, ,,,,
커피-음료,0.076, ,,,,
패스트푸드점,-0.056, ,,,,
호프-간이주점,0.057, ,,,,
슈퍼마켓,0.008, ,,,,
지가,0.003, ,,,,
