var,c_2023_20_ols,p_2023_20_ols,c_2023_20_fwd,p_2023_20_fwd,c_2023_20,p_2023_20
애완동물,-0.581,+,-0.636,+,-0.465,+
치킨전문점,-0.028, ,-0.191,+,,
중식음식점,-0.059, ,-0.114, ,,
지가,0.009, ,-0.086, ,,
기타대학,0.082, ,0.086,+,,
사업체수,0.304,+,0.151,+,0.105,+
편의점,0.444,+,0.311,+,0.511,+
대학교,0.439,+,0.433,+,0.451,+
미용실,0.149, ,0.566,+,,
네일숍,0.301,+,,,0.322,+
한식음식점,-0.571,+,,,-0.265,+
양식음식점,0.126, ,,,0.181,+
제과점,-0.27, ,,,-0.292,+
지가변동률,0.104, ,,,0.089,+
분식전문점,0.285, ,,,,
일식음식점,0.241, ,,,,
커피-음료,0.045, ,,,,
패스트푸드점,-0.038, ,,,,
호프-간이주점,0.058, ,,,,
대형마트,0.056, ,,,,
쇼핑업체수,-0.117, ,,,,
슈퍼마켓,0.001, ,,,,
종사자수,-0.189, ,,,,
