ADM_CD,사업체수_2022,종사자수_2022,농업 임업 및 어업,광업,제조업,전기 가스 증기 및 공기조절 공급업,수도 하수 및 폐기물 처리 원료 재생업,건설업,도매 및 소매업,운수 및 창고업,숙박 및 음식점업,정보통신업,금융 및 보험업,부동산업,전문 과학 및 기술 서비스업,사업시설 관리 사업 지원 및 임대 서비스업,공공행정 국방 및 사회보장 행정,교육 서비스업,보건업 및 사회복지 서비스업,예술 스포츠 및 여가관련 서비스업, 협회 및 단체 수리 및 기타 개인 서비스업,면적,금융기관_2022,금융기관_2023,유통업체수_2022,대형마트,백화점,전문점,쇼핑센터,복합쇼핑몰,그밖의 대규모점포,유통업체수_대형마트외,주택수_2020,단독주택수,일반단독주택,다가구주택,영업겸용주택,아파트,연립주택,다세대주택,비거주용건물내주택,대학교,기타대학
11020710.0,1289,4696,0,3,157,0,20,272,946,132,390,139,52,319,257,183,95,213,1185,112,221,0.48,2,2,2,0,0,0,0,0,2,2,6584,168,41,99,28,5344,389,658,25,0.0,0.0
11020720.0,1295,5076,0,0,459,0,18,643,926,134,262,121,79,144,321,697,37,653,341,66,175,0.34,-,-,0,0,0,0,0,0,0,0,4928,484,189,218,77,3844,115,432,53,0.0,0.0
11020650.0,1571,3965,0,0,1018,0,0,67,841,111,549,53,97,151,149,28,49,253,355,69,175,0.39,3,3,0,0,0,0,0,0,0,0,3376,607,150,335,122,2279,106,321,63,0.0,0.0
11020730.0,1325,4359,0,0,1213,0,0,59,1291,79,240,36,48,207,289,100,17,170,405,54,151,0.26,1,1,0,0,0,0,0,0,0,0,3180,224,43,108,73,2610,111,172,63,0.0,0.0
11020670.0,2444,5594,0,0,507,0,0,103,2587,107,617,57,86,226,153,448,21,35,307,104,236,0.33,4,4,3,1,0,0,0,0,2,2,3959,612,148,209,255,2823,12,398,114,0.0,0.0
11020680.0,1279,7764,0,0,161,0,39,91,1261,544,560,1590,647,184,1012,315,62,331,339,141,487,0.48,2,2,0,0,0,0,0,0,0,0,4324,259,129,96,34,3455,54,529,27,0.0,0.0
11030510.0,1310,4578,0,0,163,1,67,200,699,112,434,493,27,128,171,1004,116,274,354,127,208,0.86,1,1,0,0,0,0,0,0,0,0,5363,1470,580,767,123,618,575,2646,54,0.0,0.0
11030520.0,789,2100,0,0,49,0,2,16,332,119,566,108,9,58,102,12,24,419,143,41,100,1.96,-,-,0,0,0,0,0,0,0,0,3243,1105,181,782,142,374,128,1601,35,0.0,0.0
11030530.0,2055,18037,1,0,280,5,18,800,2548,1054,1897,2087,2252,434,1953,2698,67,233,771,384,555,1.19,7,5,0,0,0,0,0,0,0,0,1714,661,305,260,96,440,89,473,51,0.0,0.0
11030710.0,2231,10066,0,0,833,1,13,147,1046,201,965,865,60,221,1054,319,36,2613,910,164,618,0.9,1,2,0,0,0,0,0,0,0,0,5636,1837,623,1005,209,74,455,3186,84,1.0,0.0
