ADM_CD,지가변동률_2022,지가변동률_2023,지가변동률_2024,지가_2022,지가_2023,지가_2024
11010530.0,4.858499999999999,7.902166666666667,8.764666666666665,96.51791666666666,98.97316666666667,100.18275
11010540.0,4.673571428571429,7.840571428571429,8.613000000000001,96.46142857142857,99.05785714285716,100.13371428571429
11010550.0,5.295000000000001,8.004000000000001,9.032000000000002,96.764,98.822,100.209
11010560.0,5.151000000000001,8.009,9.204,96.442,98.655,100.254
11010570.0,4.891000000000001,6.939000000000002,7.421000000000002,97.809,99.397,100.152
11010580.0,4.9965,7.6034999999999995,8.305999999999997,97.06450000000001,99.142,100.137
11010600.0,4.456999999999999,7.388999999999999,8.215,96.575,98.986,100.184
11010610.0,4.756999999999999,7.914103448275862,8.712793103448277,96.44417241379308,99.06806896551726,100.15851724137931
11010630.0,4.9978,8.271,9.130799999999999,96.32140000000001,98.9636,100.1538
11010640.0,4.942,7.514,7.71,97.67199999999998,99.586,100.075
11010670.0,5.069999999999999,8.421,9.783,95.806,98.723,100.145
11010680.0,5.069999999999999,8.421,9.783,95.806,98.723,100.145
11010690.0,5.069999999999999,8.421,9.783,95.806,98.723,100.145
11010700.0,5.0249999999999995,7.9319999999999995,8.488999999999999,96.973,99.263,100.131
11010710.0,5.0249999999999995,7.9319999999999995,8.488999999999999,96.973,99.263,100.131
11010720.0,4.8864,7.714800000000001,8.645900000000001,96.6269,98.8961,100.1779
11010730.0,4.8505,7.271999999999999,7.735000000000002,97.47116666666666,99.27883333333334,100.11483333333332
11020520.0,4.953499999999999,7.604250000000001,8.218666666666667,97.26858333333332,99.266,100.14583333333333
11020540.0,4.8575,7.4198,8.019200000000001,97.4205,99.2918,100.1625
11020550.0,4.612304347826085,6.838304347826086,7.357043478260872,97.5097826086956,99.36547826086954,100.1441304347826
11020570.0,4.639909090909091,6.842272727272726,7.312636363636363,97.65218181818182,99.42918181818185,100.11554545454545
11020580.0,4.723,6.666999999999999,6.939,98.111,99.641,100.12399999999998
11020590.0,4.6253,6.963900000000001,7.594000000000001,97.34110000000001,99.29159999999999,100.12880000000001
11020600.0,4.5412,7.5227,8.5959,96.31530000000001,98.8971,100.134
11020650.0,5.335999999999999,7.828999999999999,8.491999999999999,97.246,99.174,100.155
11020670.0,5.435,8.228,8.709999999999999,97.125,99.409,100.116
11020680.0,5.212500000000001,7.490750000000002,8.17275,97.62575,99.18575,100.16775000000001
11020690.0,5.369,7.961999999999999,8.564666666666666,97.20566666666666,99.25233333333335,100.14200000000001
11020700.0,5.335999999999999,7.828999999999999,8.491999999999999,97.246,99.174,100.155
11020710.0,5.335999999999999,7.828999999999999,8.491999999999999,97.246,99.174,100.155
11020720.0,5.335999999999999,7.828999999999999,8.491999999999999,97.246,99.174,100.155
11020730.0,5.335999999999999,7.828999999999999,8.491999999999999,97.246,99.174,100.155
11030510.0,5.285,8.292,9.27,96.328,98.81,100.1
11030520.0,4.2090000000000005,7.2669999999999995,8.203,96.301,98.979,100.156
11030530.0,5.722,8.999,10.545000000000002,95.515,98.423,100.143
11030570.0,4.605200000000001,6.412000000000001,7.702600000000001,97.19120000000001,98.5042,100.17699999999999
11030580.0,3.059,5.282,5.31,98.033,99.702,100.146
11030590.0,3.92,5.699,5.7299999999999995,98.446,99.65,100.158
11030630.0,4.587999999999999,6.5089999999999995,7.433,97.464,99.039,100.078
11030640.0,4.587999999999999,6.5089999999999995,7.433,97.464,99.039,100.078
11030650.0,3.716,6.977,8.338000000000001,95.772,98.535,100.182
11030660.0,3.716,6.977,8.338000000000001,95.772,98.535,100.182
11030690.0,5.314,8.213000000000001,9.690000000000001,96.08,98.404,100.061
11030700.0,6.7410000000000005,9.734,10.548,96.685,99.024,100.037
11030710.0,5.648,8.527,10.149,96.016,98.288,100.167
11030720.0,5.278000000000001,8.037,9.195,96.456,98.647,100.181
11030730.0,5.529,8.8058,10.413,95.563,98.3616,100.2344
11030740.0,6.127000000000001,10.155000000000001,11.399000000000001,95.366,98.676,100.192
11040520.0,3.8210000000000006,6.840000000000002,7.213000000000002,96.967,99.62,100.062
11040540.0,3.7079999999999997,6.2940000000000005,6.852,97.191,99.426,100.107
11040550.0,4.0169999999999995,6.012999999999999,6.498999999999999,97.691,99.507,100.114
11040560.0,4.0169999999999995,6.012999999999999,6.498999999999999,97.691,99.507,100.114
11040570.0,4.0169999999999995,6.012999999999999,6.498999999999999,97.691,99.507,100.114
11040580.0,4.0169999999999995,6.012999999999999,6.498999999999999,97.691,99.507,100.114
11040590.0,4.088,5.970000000000001,6.757000000000001,97.918,99.202,100.157
11040620.0,4.088,5.970000000000001,6.757000000000001,97.918,99.202,100.157
11040650.0,9.540000000000001,16.874000000000002,19.687,91.125,97.249,100.304
11040660.0,9.540000000000001,16.874000000000002,19.687,91.125,97.249,100.304
11040670.0,9.879000000000001,17.828000000000003,20.982000000000003,90.255,96.923,100.337
11040680.0,9.879000000000001,17.828000000000003,20.982000000000003,90.255,96.923,100.337
11040690.0,3.319,6.914999999999999,7.693999999999999,96.081,99.214,100.114
11040700.0,3.804,7.5055,8.293,96.0135,99.209,100.1155
11040710.0,4.016,7.2125,7.598000000000001,96.83800000000001,99.60900000000001,100.06599999999999
11040720.0,4.088,5.970000000000001,6.757000000000001,97.918,99.202,100.157
11040730.0,3.617,5.140000000000001,5.292000000000001,98.607,99.832,100.024
11050530.0,4.164,6.181,6.853,97.586,99.178,100.119
11050540.0,4.432,6.532000000000002,6.952000000000002,97.791,99.468,100.061
