var,coef_solo_70_ols,pvalue_solo_70_ols,coef_solo_70_fwd,pvalue_solo_70_fwd,coef_solo_70,pvalue_solo_70
사업체합계,0.273,0.0,0.222,0.0,0.229,0.0
노인복지시설 개수,0.302,0.003,0.357,0.0,0.255,0.0
금융기관_근접3,-0.128,0.042,-0.162,0.006,-0.208,0.0
카페,-0.325,0.06,-0.34,0.007,-0.49,0.0
동물약국,0.274,0.113,0.379,0.007,0.356,0.001
지가 변동률,-0.129,0.044,-0.161,0.008,-0.094,0.048
대학교 개수_근접9,0.109,0.024,0.103,0.028,0.131,0.004
병원,0.145,0.063,0.148,0.04,,
대형마트_근접3,0.081,0.081,0.088,0.052,0.094,0.039
쇼핑_근접9,-0.093,0.089,-0.094,0.077,,
동물미용업,-0.201,0.131,-0.154,0.106,,
편의점,-0.268,0.196,-0.298,0.121,,
지가 누계,0.062,0.306,0.082,0.159,,
세탁업,0.03,0.878,0.052,0.768,,
상수,0.0,1.0,0.0,1.0,0.0,1.0
안심귀갓길 개수,-0.009,0.836,,,,
동물병원,-0.019,0.868,,,,
미용업,0.221,0.319,,,,
약국,0.036,0.82,,,,
영화상영관,0.012,0.83,,,,
이용업,0.165,0.182,,,,
일반음식점,-0.253,0.165,,,,
제과점영업,0.081,0.543,,,,
휴게음식점,-0.067,0.552,,,,
