var,coef_solo_20_ols,pvalue_solo_20_ols,coef_solo_20_fwd,pvalue_solo_20_fwd,coef_solo_20,pvalue_solo_20
사업체합계,0.208,0.001,0.22,0.0,0.21,0.0
안심귀갓길 개수,0.284,0.0,0.279,0.0,0.286,0.0
편의점,0.825,0.0,0.615,0.0,0.626,0.0
동물약국,-0.535,0.001,-0.556,0.0,-0.495,0.001
동물미용업,-0.229,0.069,-0.299,0.001,-0.296,0.0
약국,0.4,0.007,0.373,0.006,0.291,0.024
금융기관_근접3,-0.147,0.014,-0.132,0.007,-0.136,0.002
대학교 개수_근접9,0.134,0.004,0.112,0.01,0.133,0.002
이용업,-0.204,0.081,-0.216,0.02,,
지가 누계,-0.083,0.143,-0.091,0.037,-0.085,0.047
미용업,0.516,0.014,0.334,0.044,,
제과점영업,-0.211,0.094,-0.174,0.091,,
대형마트_근접3,-0.059,0.177,-0.063,0.142,,
상수,0.0,1.0,0.0,1.0,0.0,1.0
지가 변동률,-0.008,0.892,,,,
노인복지시설 개수,-0.129,0.171,,,,
동물병원,-0.094,0.389,,,,
병원,-0.082,0.268,,,,
세탁업,-0.108,0.555,,,,
영화상영관,0.029,0.597,,,,
일반음식점,0.024,0.889,,,,
휴게음식점,0.106,0.316,,,,
카페,-0.274,0.095,,,,
쇼핑_근접9,-0.002,0.977,,,,
