var,c_70_ols,p_70_ols,c_70_fwd,p_70_fwd,c_70,p_70
세탁업,-0.283, ,-0.318, ,,
일반음식점,-0.426,+,-0.316,+,-0.351,+
편의점,-0.341, ,-0.252, ,-0.487,+
사업체수,-0.195,+,-0.198,+,-0.153,+
안심귀갓길,-0.146,+,-0.144,+,-0.144,+
금융기관,-0.056, ,-0.06, ,,
상수,0.0, ,0.0, ,0.0, 
대형마트,0.103,+,0.106,+,0.095,+
노인복지시설,0.264,+,0.233,+,0.212,+
반려동물업,0.577,+,0.627,+,0.593,+
지가 변동률,-0.045, ,,,,
대학교,0.022, ,,,,
미용업,0.001, ,,,,
병원,-0.043, ,,,,
약국,0.118, ,,,,
영화상영관,-0.006, ,,,,
이용업,-0.022, ,,,,
카페,0.149, ,,,,
쇼핑,-0.004, ,,,,
