var,coef_solo_20_ols,pvalue_solo_20_ols,coef_solo_20_fwd,pvalue_solo_20_fwd,coef_solo_20,pvalue_solo_20
안심귀갓길 개수,0.179,0.0,0.193,0.0,0.198,0.0
동물약국,-0.582,0.001,-0.627,0.0,-0.62,0.0
편의점,0.51,0.014,0.595,0.0,0.603,0.0
약국,0.464,0.003,0.466,0.001,0.464,0.001
대학교 개수_근접9,0.143,0.003,0.15,0.001,0.144,0.002
동물미용업,-0.18,0.177,-0.287,0.002,-0.302,0.001
노인복지시설 개수,-0.174,0.083,-0.226,0.006,-0.213,0.004
대형마트_근접3,-0.093,0.044,-0.103,0.024,-0.108,0.015
지가 누계,-0.102,0.09,-0.096,0.042,-0.1,0.033
금융기관_근접3,-0.12,0.056,-0.075,0.133,,
사업체합계,0.031,0.624,0.069,0.16,,
상수,0.0,1.0,0.0,1.0,0.0,1.0
지가 변동률,0.039,0.546,,,,
동물병원,-0.117,0.312,,,,
미용업,0.156,0.481,,,,
병원,-0.079,0.314,,,,
세탁업,-0.04,0.838,,,,
영화상영관,0.025,0.654,,,,
이용업,-0.154,0.214,,,,
일반음식점,0.169,0.354,,,,
제과점영업,-0.094,0.48,,,,
휴게음식점,-0.039,0.73,,,,
카페,0.048,0.783,,,,
쇼핑_근접9,0.067,0.224,,,,
