var,coef_solo_60_ols,pvalue_solo_60_ols,coef_solo_60_fwd,pvalue_solo_60_fwd,coef_solo_60,pvalue_solo_60
사업체합계,0.38,0.0,0.392,0.0,0.375,0.0
카페,-0.481,0.004,-0.553,0.0,-0.454,0.0
이용업,0.326,0.006,0.346,0.001,0.438,0.0
지가 변동률,-0.156,0.011,-0.161,0.006,-0.113,0.011
쇼핑_근접9,-0.1,0.056,-0.122,0.007,-0.143,0.001
휴게음식점,-0.154,0.147,-0.212,0.008,-0.186,0.018
동물병원,-0.174,0.112,-0.223,0.009,-0.164,0.038
병원,0.173,0.02,0.154,0.022,0.181,0.005
지가 누계,0.116,0.042,0.108,0.048,,
세탁업,0.229,0.214,0.234,0.05,0.312,0.005
미용업,0.346,0.1,0.297,0.086,,
노인복지시설 개수,0.069,0.467,0.05,0.556,,
상수,-0.0,1.0,-0.0,1.0,-0.0,1.0
금융기관_근접3,-0.066,0.27,,,,
안심귀갓길 개수,0.031,0.466,,,,
대학교 개수_근접9,-0.013,0.776,,,,
동물미용업,-0.107,0.398,,,,
동물약국,0.074,0.652,,,,
약국,0.021,0.89,,,,
영화상영관,0.018,0.744,,,,
일반음식점,-0.043,0.805,,,,
제과점영업,-0.116,0.359,,,,
편의점,-0.072,0.716,,,,
대형마트_근접3,0.046,0.297,,,,
