var,coef_solo_70_ols,pvalue_solo_70_ols,coef_solo_70_fwd,pvalue_solo_70_fwd,coef_solo_70,pvalue_solo_70
사업체합계,-0.224,0.0,-0.217,0.0,-0.249,0.0
노인복지시설 개수,0.39,0.0,0.41,0.0,0.326,0.0
동물약국,0.607,0.0,0.529,0.0,0.518,0.0
일반음식점,-0.458,0.008,-0.503,0.0,-0.556,0.0
안심귀갓길 개수,-0.138,0.001,-0.136,0.001,-0.133,0.001
동물병원,0.253,0.019,0.251,0.012,0.167,0.026
대형마트_근접3,0.111,0.011,0.095,0.021,0.108,0.01
세탁업,-0.382,0.036,-0.369,0.024,-0.602,0.0
편의점,-0.254,0.193,-0.312,0.063,,
동물미용업,-0.191,0.126,-0.208,0.078,,
휴게음식점,0.191,0.07,0.138,0.147,0.198,0.015
쇼핑_근접9,-0.034,0.51,-0.062,0.158,,
제과점영업,0.183,0.144,0.116,0.285,,
상수,0.0,1.0,0.0,1.0,0.0,1.0
금융기관_근접3,-0.073,0.218,,,-0.1,0.039
지가 변동률,0.033,0.585,,,,
지가 누계,-0.063,0.268,,,,
대학교 개수_근접9,0.034,0.452,,,,
미용업,-0.105,0.615,,,,
병원,0.016,0.827,,,,
약국,-0.165,0.266,,,,
영화상영관,-0.025,0.634,,,,
이용업,0.025,0.826,,,,
카페,-0.016,0.922,,,,
