var,coef_solo_30_ols,pvalue_solo_30_ols,coef_solo_30_fwd,pvalue_solo_30_fwd,coef_solo_30,pvalue_solo_30
사업체합계,0.27,0.0,0.256,0.0,0.25,0.0
노인복지시설 개수,-0.466,0.0,-0.444,0.0,-0.428,0.0
세탁업,0.669,0.0,0.647,0.0,0.632,0.0
이용업,-0.427,0.0,-0.4,0.0,-0.378,0.0
일반음식점,0.461,0.005,0.445,0.002,0.354,0.001
동물미용업,0.26,0.029,0.253,0.002,0.248,0.003
동물약국,-0.359,0.021,-0.334,0.004,-0.369,0.001
안심귀갓길 개수,0.077,0.052,0.088,0.024,0.088,0.025
금융기관_근접3,0.13,0.021,0.101,0.026,0.1,0.028
지가 누계,0.114,0.034,0.086,0.036,0.082,0.043
카페,-0.175,0.258,-0.124,0.306,,
상수,-0.0,1.0,-0.0,1.0,-0.0,1.0
지가 변동률,-0.048,0.405,,,,
대학교 개수_근접9,-0.032,0.459,,,,
동물병원,-0.018,0.864,,,,
미용업,0.088,0.657,,,,
병원,-0.039,0.572,,,,
약국,-0.033,0.814,,,,
영화상영관,0.023,0.651,,,,
제과점영업,0.14,0.241,,,,
휴게음식점,-0.123,0.221,,,,
편의점,0.013,0.945,,,,
쇼핑_근접9,-0.027,0.581,,,,
대형마트_근접3,-0.013,0.748,,,,
