var,coef_solo_67_ols,pvalue_solo_67_ols,coef_solo_67_fwd,pvalue_solo_67_fwd,coef_solo_67,pvalue_solo_67
노인복지시설 개수,0.385,0.0,0.348,0.0,0.348,0.0
안심귀갓길 개수,-0.154,0.0,-0.153,0.0,-0.16,0.0
동물약국,0.611,0.0,0.544,0.0,0.518,0.0
사업체합계,-0.204,0.001,-0.186,0.001,-0.147,0.003
일반음식점,-0.453,0.008,-0.447,0.002,-0.417,0.0
세탁업,-0.387,0.032,-0.364,0.026,,
대형마트_근접3,0.087,0.044,0.081,0.047,0.082,0.047
편의점,-0.272,0.161,-0.344,0.052,-0.573,0.0
동물병원,0.191,0.076,0.14,0.065,0.144,0.043
이용업,0.18,0.119,0.153,0.144,,
카페,-0.016,0.919,0.002,0.991,,
상수,0.0,1.0,0.0,1.0,0.0,1.0
금융기관_근접3,-0.039,0.507,,,,
지가 변동률,0.021,0.731,,,,
지가 누계,-0.045,0.427,,,,
대학교 개수_근접9,-0.019,0.67,,,,
동물미용업,-0.159,0.2,,,,
미용업,-0.076,0.713,,,,
병원,0.053,0.464,,,,
약국,-0.21,0.153,,,,
영화상영관,-0.029,0.578,,,,
제과점영업,0.101,0.418,,,,
휴게음식점,0.138,0.188,,,,
쇼핑_근접9,-0.031,0.543,,,,
