var,c_60_ols,p_60_ols,c_60_fwd,p_60_fwd,c_60,p_60
일반음식점,-0.285, ,-0.363,+,-0.411,+
세탁업,-0.335, ,-0.334,+,-0.424,+
약국,-0.153, ,-0.179, ,,
사업체수,-0.157,+,-0.16,+,-0.173,+
안심귀갓길,-0.156,+,-0.155,+,-0.158,+
편의점,-0.105, ,-0.123, ,,
대학교,-0.087, ,-0.091,+,-0.096,+
상수,-0.0, ,-0.0, ,-0.0, 
병원,0.124, ,0.129, ,0.159,+
노인복지시설,0.227,+,0.242,+,0.266,+
반려동물업,0.274, ,0.255,+,,
이용업,0.406,+,0.418,+,0.468,+
금융기관,0.022, ,,,,
지가 변동률,-0.03, ,,,,
미용업,-0.026, ,,,,
영화상영관,-0.035, ,,,,
카페,-0.068, ,,,,
쇼핑,-0.028, ,,,,
대형마트,0.033, ,,,,
