var,coef_solo_67_ols,pvalue_solo_67_ols,coef_solo_67_fwd,pvalue_solo_67_fwd,coef_solo_67,pvalue_solo_67
사업체합계,0.336,0.0,0.291,0.0,0.28,0.0
카페,-0.413,0.015,-0.506,0.0,-0.392,0.0
병원,0.165,0.031,0.203,0.004,0.222,0.001
쇼핑_근접9,-0.101,0.06,-0.124,0.014,-0.138,0.006
노인복지시설 개수,0.21,0.031,0.213,0.015,0.229,0.009
동물미용업,-0.168,0.197,-0.239,0.015,-0.179,0.044
이용업,0.247,0.041,0.229,0.026,0.288,0.002
금융기관_근접3,-0.106,0.084,-0.123,0.03,-0.112,0.044
지가 변동률,-0.148,0.018,-0.098,0.037,-0.113,0.015
대형마트_근접3,0.069,0.128,0.066,0.13,,
미용업,0.289,0.181,0.246,0.159,,
상수,-0.0,1.0,-0.0,1.0,-0.0,1.0
지가 누계,0.09,0.127,,,,
안심귀갓길 개수,0.009,0.842,,,,
대학교 개수_근접9,0.059,0.213,,,,
동물병원,-0.091,0.418,,,,
동물약국,0.196,0.246,,,,
세탁업,0.122,0.517,,,,
약국,0.031,0.842,,,,
영화상영관,0.015,0.783,,,,
일반음식점,-0.169,0.341,,,,
제과점영업,-0.005,0.968,,,,
휴게음식점,-0.11,0.314,,,,
편의점,-0.191,0.344,,,,
