var,coef_solo_60_ols,pvalue_solo_60_ols,coef_solo_60_fwd,pvalue_solo_60_fwd,coef_solo_60,pvalue_solo_60
안심귀갓길 개수,-0.157,0.0,-0.159,0.0,-0.157,0.0
이용업,0.434,0.0,0.443,0.0,0.437,0.0
노인복지시설 개수,0.305,0.001,0.28,0.001,0.294,0.0
일반음식점,-0.361,0.038,-0.417,0.001,-0.533,0.0
동물약국,0.505,0.002,0.469,0.001,0.34,0.001
대학교 개수_근접9,-0.115,0.013,-0.115,0.007,-0.117,0.006
사업체합계,-0.131,0.031,-0.124,0.023,-0.145,0.007
약국,-0.255,0.089,-0.285,0.031,,
세탁업,-0.325,0.078,-0.309,0.062,-0.518,0.0
병원,0.113,0.129,0.112,0.096,,
편의점,-0.255,0.196,-0.257,0.115,,
상수,-0.0,1.0,-0.0,1.0,-0.0,1.0
금융기관_근접3,0.031,0.6,,,,
지가 변동률,-0.006,0.919,,,,
지가 누계,-0.003,0.961,,,,
동물미용업,-0.069,0.583,,,,
동물병원,0.038,0.725,,,,
미용업,-0.009,0.967,,,,
영화상영관,-0.032,0.56,,,,
제과점영업,-0.071,0.575,,,,
휴게음식점,0.013,0.899,,,,
카페,-0.014,0.932,,,,
쇼핑_근접9,-0.02,0.702,,,,
대형마트_근접3,0.027,0.545,,,,
