ADM_CD,네일숍_2023,미용실_2023,분식전문점_2023,애완동물_2023,한식음식점_2023,양식음식점_2023,일식음식점_2023,중식음식점_2023,치킨전문점_2023,커피-음료_2023,패스트푸드점_2023,제과점_2023,편의점_2023,호프-간이주점_2023
11010530.0,13.0,32.0,124.0,8.0,414.0,182.0,58.0,31.0,7.0,16.0,9.0,19.0,11.0,7.0
11010540.0,2.0,0.0,17.0,0.0,73.0,85.0,7.0,4.0,0.0,10.0,1.0,2.0,1.0,0.0
11010550.0,0.0,10.0,14.0,7.0,38.0,37.0,5.0,4.0,0.0,5.0,3.0,7.0,4.0,0.0
11010560.0,2.0,16.0,14.0,3.0,55.0,18.0,6.0,3.0,0.0,1.0,3.0,4.0,3.0,1.0
11010570.0,1.0,9.0,7.0,1.0,22.0,2.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0
11010580.0,2.0,10.0,15.0,9.0,64.0,17.0,5.0,5.0,1.0,0.0,1.0,6.0,6.0,1.0
11010600.0,0.0,8.0,20.0,1.0,67.0,44.0,7.0,2.0,1.0,4.0,0.0,11.0,4.0,2.0
11010610.0,10.0,34.0,238.0,13.0,1193.0,316.0,116.0,63.0,5.0,18.0,31.0,31.0,34.0,17.0
11010630.0,2.0,18.0,52.0,16.0,306.0,30.0,16.0,5.0,2.0,1.0,2.0,5.0,0.0,5.0
11010640.0,2.0,10.0,41.0,1.0,116.0,90.0,16.0,11.0,0.0,5.0,7.0,11.0,5.0,2.0
11010670.0,2.0,47.0,60.0,8.0,185.0,41.0,10.0,20.0,6.0,2.0,7.0,8.0,7.0,7.0
11010680.0,2.0,47.0,60.0,8.0,185.0,41.0,10.0,20.0,6.0,2.0,7.0,8.0,7.0,7.0
11010690.0,2.0,47.0,60.0,8.0,185.0,41.0,10.0,20.0,6.0,2.0,7.0,8.0,7.0,7.0
11010700.0,4.0,29.0,30.0,7.0,167.0,20.0,11.0,9.0,7.0,0.0,5.0,5.0,10.0,5.0
11010710.0,4.0,29.0,30.0,7.0,167.0,20.0,11.0,9.0,7.0,0.0,5.0,5.0,10.0,5.0
11010720.0,6.0,16.0,21.0,9.0,87.0,71.0,9.0,10.0,1.0,7.0,3.0,8.0,3.0,1.0
11010730.0,8.0,32.0,96.0,7.0,230.0,136.0,27.0,16.0,6.0,14.0,16.0,5.0,10.0,11.0
11020520.0,7.0,21.0,63.0,4.0,399.0,94.0,85.0,43.0,6.0,16.0,14.0,28.0,30.0,6.0
11020540.0,13.0,36.0,86.0,8.0,421.0,102.0,40.0,40.0,7.0,16.0,18.0,34.0,33.0,4.0
