ADM_CD,total_all_2022,solo_all_2022,total_20_2022,solo_20_2022,total_25_2022,solo_25_2022,total_30_2022,solo_30_2022,total_35_2022,solo_35_2022,solo_20s_2022,solo_30s_2022,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11060910,23947.0,4283.0,1992.0,504.0,2322.0,541.0,2801.0,514.0,2636.0,473.0,522.5,493.5,17.885330103979623,12.199392948867615,11.522297455054868
11070590,20714.0,1966.0,1896.0,118.0,1764.0,116.0,1849.0,197.0,1891.0,164.0,117.0,180.5,9.491165395384764,5.95116988809766,9.181078331637844
11070610,17014.0,2273.0,1439.0,175.0,1460.0,197.0,1897.0,265.0,1650.0,206.0,186.0,235.5,13.359586223110378,8.18301803783546,10.360756709194895
11070690,30727.0,2529.0,2798.0,135.0,2382.0,131.0,2906.0,159.0,3199.0,162.0,133.0,160.5,8.230546424968269,5.258995650454725,6.34638196915777
11080720,17718.0,3598.0,2218.0,868.0,1629.0,646.0,1665.0,318.0,1590.0,261.0,757.0,289.5,20.307032396433005,21.03946637020567,8.046136742634797
11050660,24752.0,2752.0,1981.0,220.0,2173.0,214.0,2621.0,308.0,2510.0,274.0,217.0,291.0,11.118293471234647,7.8851744186046515,10.574127906976743
11050610,20083.0,2957.0,1602.0,227.0,1702.0,271.0,2109.0,362.0,1993.0,296.0,249.0,329.0,14.723895832295971,8.420696652012175,11.126141359485965
11090630,18399.0,3751.0,1613.0,256.0,1493.0,267.0,1728.0,388.0,1569.0,313.0,261.5,350.5,20.38697755312789,6.971474273527059,9.34417488669688
11090690,24467.0,3307.0,1914.0,119.0,1760.0,134.0,2247.0,342.0,2239.0,290.0,126.5,316.0,13.516164629909674,3.825219231932265,9.555488358028425
11090720,24917.0,4872.0,1967.0,299.0,1892.0,309.0,2213.0,370.0,1989.0,299.0,304.0,334.5,19.552915680057794,6.239737274220033,6.86576354679803
11090730,23600.0,1981.0,1627.0,47.0,1421.0,44.0,2203.0,123.0,3006.0,148.0,45.5,135.5,8.39406779661017,2.2968197879858656,6.839979808177688
11090740,17474.0,2536.0,1629.0,180.0,1199.0,141.0,1418.0,171.0,1377.0,142.0,160.5,156.5,14.512990729083208,6.328864353312302,6.171135646687697
11110520,22702.0,3548.0,1900.0,145.0,1568.0,132.0,1888.0,198.0,2266.0,200.0,138.5,199.0,15.628578979825566,3.9036076662908683,5.608793686583991
11080620,14950.0,1742.0,1360.0,252.0,1232.0,239.0,1381.0,131.0,1479.0,125.0,245.5,128.0,11.652173913043478,14.092996555683124,7.347876004592423
11010570,6356.0,798.0,460.0,50.0,426.0,50.0,455.0,67.0,555.0,72.0,50.0,69.5,12.555066079295155,6.265664160401002,8.709273182957393
11010630,5037.0,2206.0,590.0,393.0,498.0,338.0,409.0,226.0,326.0,168.0,365.5,197.0,43.795910264046064,16.56844968268359,8.930190389845876
11010640,8343.0,2929.0,1159.0,493.0,1386.0,595.0,1007.0,483.0,658.0,296.0,544.0,389.5,35.10727556034999,18.572891771935815,13.298053943325366
11010670,5970.0,1566.0,427.0,88.0,565.0,118.0,528.0,141.0,426.0,135.0,103.0,138.0,26.231155778894472,6.577266922094509,8.812260536398467
11010680,9958.0,1965.0,844.0,99.0,972.0,123.0,813.0,182.0,703.0,139.0,111.0,160.5,19.73287808796947,5.648854961832061,8.167938931297709
11020600,1413.0,846.0,59.0,48.0,125.0,103.0,131.0,90.0,94.0,59.0,75.5,74.5,59.87261146496815,8.92434988179669,8.80614657210402
11120680,14044.0,2452.0,1005.0,132.0,1068.0,156.0,1276.0,288.0,1197.0,280.0,144.0,284.0,17.459413272571915,5.872756933115824,11.582381729200652
11120710,38134.0,4197.0,2693.0,516.0,2635.0,553.0,2946.0,601.0,4470.0,531.0,534.5,566.0,11.005926469816961,12.735287109840362,13.485823207052658
11120720,23696.0,4836.0,1889.0,374.0,1955.0,421.0,2210.0,493.0,1971.0,393.0,397.5,443.0,20.408507765023636,8.219602977667494,9.160463192721258
