ADM_CD,사업체수_2022,종사자수_2022,금융기관_2023,유통업체수_2022,대형마트_2022,쇼핑업체수_2022,대학교,기타대학,면적
11070570.0,1942,4653,0,1,0,1,0.0,0.0,1.2
11070720.0,2869,8199,0,0,0,0,0.0,0.0,1.63
11070590.0,2024,6686,0,2,1,1,0.0,0.0,0.88
11070600.0,3487,9342,0,2,1,1,0.0,0.0,0.65
11070610.0,1595,4237,0,0,0,0,0.0,0.0,0.64
11070620.0,2574,6863,0,1,0,1,0.0,0.0,1.01
11070640.0,2341,5885,0,1,1,0,0.0,0.0,1.2
11070650.0,2368,4721,0,0,0,0,0.0,0.0,0.67
11070730.0,4850,13559,0,1,1,0,0.0,0.0,3.03
11070680.0,1510,4224,0,1,0,1,0.0,0.0,0.92
11070690.0,3435,16271,0,1,0,1,0.0,0.0,2.56
11070700.0,1536,7513,0,2,1,1,0.0,0.0,0.93
11080810.0,1792,6192,0,1,0,1,0.0,0.0,2.86
11080820.0,2524,11818,0,1,0,1,2.0,0.0,0.92
11080830.0,2622,10582,0,1,0,1,1.0,0.0,0.73
11080580.0,710,2191,0,0,0,0,0.0,0.0,0.49
11080590.0,970,3107,0,3,0,3,0.0,0.0,0.48
11080600.0,1948,13977,0,0,0,0,1.0,0.0,1.33
11080610.0,1865,6843,0,2,0,2,0.0,0.0,0.56
11080620.0,1281,2575,0,1,0,1,0.0,0.0,0.44
11080630.0,1482,3574,0,0,0,0,0.0,0.0,1.17
11080640.0,1014,5781,0,0,0,0,2.0,0.0,3.71
11080650.0,1571,5100,0,0,0,0,0.0,0.0,3.13
11080660.0,1683,4321,0,4,0,4,0.0,0.0,0.79
11080680.0,1700,5729,0,3,2,1,0.0,0.0,0.58
11080840.0,2876,8754,0,0,0,0,0.0,0.0,1.46
11080710.0,1879,5642,0,1,0,1,0.0,0.0,0.81
11080720.0,2148,10740,0,2,1,1,0.0,0.0,1.36
11080760.0,1649,3302,0,0,0,0,0.0,0.0,0.7
11080770.0,1510,3903,0,0,0,0,0.0,0.0,0.67
11080780.0,862,2118,0,0,0,0,0.0,0.0,0.65
11080850.0,3076,9478,0,0,0,0,0.0,1.0,1.73
11090690.0,1546,4098,0,2,1,1,0.0,0.0,0.91
11090700.0,2297,7190,0,0,0,0,0.0,1.0,0.93
11090710.0,2965,9122,0,3,0,3,0.0,0.0,1.01
11090720.0,2573,7199,0,1,0,1,0.0,0.0,0.9
11090730.0,1444,3154,0,0,0,0,0.0,0.0,0.62
11090600.0,2453,9763,0,1,0,1,0.0,0.0,0.66
11090610.0,912,3692,0,0,0,0,0.0,0.0,0.95
11090620.0,1153,3359,0,0,0,0,0.0,0.0,1.1
11090630.0,1953,5784,0,2,0,2,0.0,0.0,1.67
11090640.0,1840,4646,0,1,0,1,0.0,0.0,0.57
11090650.0,3168,9842,0,1,0,1,0.0,0.0,0.72
11090740.0,1582,5534,0,0,0,0,0.0,0.0,10.28
11090750.0,2228,6476,0,1,0,1,0.0,0.0,3.28
11100590.0,2145,4124,0,0,0,0,0.0,0.0,0.88
11100600.0,1990,4563,0,2,0,2,0.0,0.0,1.05
11100610.0,1235,2195,0,0,0,0,0.0,0.0,0.67
11100620.0,1860,7618,0,0,0,0,0.0,0.0,0.95
11100630.0,2542,7388,0,1,1,0,0.0,0.0,0.7
11100640.0,2034,7210,0,0,0,0,0.0,0.0,8.72
11100650.0,1978,7740,0,2,0,2,0.0,0.0,0.83
