ADM_CD,지가변동률_2024,지가_2024
11010530.0,8.764666666666665,100.18275
11010540.0,8.613000000000001,100.13371428571428
11010550.0,9.032000000000002,100.209
11010560.0,9.204,100.254
11010570.0,7.421000000000002,100.152
11010580.0,8.305999999999997,100.137
11010600.0,8.215,100.184
11010610.0,8.712793103448277,100.15851724137931
11010630.0,9.1308,100.1538
11010640.0,7.71,100.075
11010670.0,9.783,100.145
11010680.0,9.783,100.145
11010690.0,9.783,100.145
11010700.0,8.488999999999999,100.131
11010710.0,8.488999999999999,100.131
11010720.0,8.645900000000001,100.1779
11010730.0,7.735000000000002,100.11483333333332
11020520.0,8.218666666666667,100.14583333333331
11020540.0,8.019200000000001,100.1625
11020550.0,7.357043478260872,100.1441304347826
11020570.0,7.312636363636363,100.11554545454544
11020580.0,6.939,100.12399999999998
11020590.0,7.594000000000001,100.1288
11020600.0,8.5959,100.134
11020650.0,8.491999999999999,100.155
11020670.0,8.709999999999999,100.116
11020680.0,8.17275,100.16775
11020690.0,8.564666666666666,100.142
11020700.0,8.491999999999999,100.155
11020710.0,8.491999999999999,100.155
11020720.0,8.491999999999999,100.155
11020730.0,8.491999999999999,100.155
11030510.0,9.27,100.1
11030520.0,8.203,100.156
11030530.0,10.545000000000002,100.143
11030570.0,7.702600000000001,100.177
11030580.0,5.31,100.146
11030590.0,5.73,100.158
11030630.0,7.433,100.078
11030640.0,7.433,100.078
11030650.0,8.338000000000001,100.182
11030660.0,8.338000000000001,100.182
11030690.0,9.69,100.061
11030700.0,10.548,100.037
11030710.0,10.149,100.167
11030720.0,9.195,100.181
11030730.0,10.413,100.2344
11030740.0,11.399,100.192
11040520.0,7.213000000000002,100.062
11040540.0,6.852,100.107
11040550.0,6.498999999999999,100.114
11040560.0,6.498999999999999,100.114
11040570.0,6.498999999999999,100.114
11040580.0,6.498999999999999,100.114
11040590.0,6.757000000000001,100.157
11040620.0,6.757000000000001,100.157
11040650.0,19.687,100.304
11040660.0,19.687,100.304
11040670.0,20.982000000000003,100.337
11040680.0,20.982000000000003,100.337
11040690.0,7.693999999999999,100.114
11040700.0,8.293,100.1155
11040710.0,7.598000000000001,100.066
11040720.0,6.757000000000001,100.157
11040730.0,5.292000000000001,100.024
11050530.0,6.853,100.119
11050540.0,6.952000000000002,100.061
11050550.0,8.242,100.133
11050560.0,8.242,100.133
11050570.0,8.242,100.133
11050580.0,8.242,100.133
11050590.0,6.773999999999999,100.107
11050600.0,8.388,100.115
11050610.0,8.388,100.115
11050620.0,8.388,100.115
11050630.0,4.73,100.045
11050640.0,10.542000000000002,100.218
11050650.0,10.542000000000002,100.218
11050660.0,10.542000000000002,100.218
11050670.0,10.542000000000002,100.218
11060710.0,6.992999999999999,100.13
11060720.0,6.549,100.119
11060730.0,6.549,100.119
11060800.0,9.442,100.119
11060810.0,9.717,100.157
11060820.0,10.162,100.163
11060830.0,9.305,100.176
11060840.0,9.305,100.176
11060860.0,7.37,100.151
11060870.0,7.514,100.111
11060880.0,7.514,100.111
11060890.0,9.060999999999998,100.214
11060900.0,9.060999999999998,100.214
11060910.0,7.37,100.151
11070520.0,7.877000000000002,100.16
11070540.0,7.877000000000002,100.16
11070550.0,7.877000000000002,100.16
11070570.0,7.877000000000002,100.16
11070590.0,7.288,100.155
11070600.0,7.288,100.155
11070610.0,6.757999999999999,100.096
11070620.0,6.757999999999999,100.096
11070640.0,5.994999999999999,100.073
11070650.0,5.994999999999999,100.073
11070680.0,6.524000000000001,100.123
11070690.0,5.849,100.123
11070700.0,5.849,100.123
11070710.0,7.877000000000002,100.16
11070720.0,7.877000000000002,100.16
11070730.0,6.524000000000001,100.123
11080580.0,5.572,100.118
11080590.0,5.572,100.118
