ADM_CD,월평균소득_2022,총상주인구_2022,20대상주인구_2022,30대상주인구_2022,총직장인구_2022,20대직장인구_2022,30대직장인구_2022,슈퍼마켓_2022,20대매출건수_네일숍_2022,20대매출건수_미용실_2022,20대매출건수_분식전문점_2022,20대매출건수_애완동물_2022,20대매출건수_양식음식점_2022,20대매출건수_일식음식점_2022,20대매출건수_제과점_2022,20대매출건수_중식음식점_2022,20대매출건수_치킨전문점_2022,20대매출건수_커피-음료_2022,20대매출건수_패스트푸드점_2022,20대매출건수_편의점_2022,20대매출건수_한식음식점_2022,20대매출건수_호프-간이주점_2022,20대매출금액_네일숍_2022,20대매출금액_미용실_2022,20대매출금액_분식전문점_2022,20대매출금액_애완동물_2022,20대매출금액_양식음식점_2022,20대매출금액_일식음식점_2022,20대매출금액_제과점_2022,20대매출금액_중식음식점_2022,20대매출금액_치킨전문점_2022,20대매출금액_커피-음료_2022,20대매출금액_패스트푸드점_2022,20대매출금액_편의점_2022,20대매출금액_한식음식점_2022,20대매출금액_호프-간이주점_2022,30대매출건수_네일숍_2022,30대매출건수_미용실_2022,30대매출건수_분식전문점_2022,30대매출건수_애완동물_2022,30대매출건수_양식음식점_2022,30대매출건수_일식음식점_2022,30대매출건수_제과점_2022,30대매출건수_중식음식점_2022,30대매출건수_치킨전문점_2022,30대매출건수_커피-음료_2022,30대매출건수_패스트푸드점_2022,30대매출건수_편의점_2022,30대매출건수_한식음식점_2022,30대매출건수_호프-간이주점_2022,30대매출금액_네일숍_2022,30대매출금액_미용실_2022,30대매출금액_분식전문점_2022,30대매출금액_애완동물_2022,30대매출금액_양식음식점_2022,30대매출금액_일식음식점_2022,30대매출금액_제과점_2022,30대매출금액_중식음식점_2022,30대매출금액_치킨전문점_2022,30대매출금액_커피-음료_2022,30대매출금액_패스트푸드점_2022,30대매출금액_편의점_2022,30대매출금액_한식음식점_2022,30대매출금액_호프-간이주점_2022,총매출건수_네일숍_2022,총매출건수_미용실_2022,총매출건수_분식전문점_2022,총매출건수_애완동물_2022,총매출건수_양식음식점_2022,총매출건수_일식음식점_2022,총매출건수_제과점_2022,총매출건수_중식음식점_2022,총매출건수_치킨전문점_2022,총매출건수_커피-음료_2022,총매출건수_패스트푸드점_2022,총매출건수_편의점_2022,총매출건수_한식음식점_2022,총매출건수_호프-간이주점_2022,총매출금액_네일숍_2022,총매출금액_미용실_2022,총매출금액_분식전문점_2022,총매출금액_애완동물_2022,총매출금액_양식음식점_2022,총매출금액_일식음식점_2022,총매출금액_제과점_2022,총매출금액_중식음식점_2022,총매출금액_치킨전문점_2022,총매출금액_커피-음료_2022,총매출금액_패스트푸드점_2022,총매출금액_편의점_2022,총매출금액_한식음식점_2022,총매출금액_호프-간이주점_2022
11140690.0,2802536.0,20802.0,3494.0,3922.0,3153.0,855.0,862.0,0.0,0.0,1604.0,29229.0,0.0,12064.0,1225.0,11808.0,2627.0,3587.0,64497.0,20426.0,128724.0,81861.0,5773.0,0.0,69478663.0,306284597.0,0.0,372857406.0,87313697.0,86560111.0,53321851.0,48723903.0,536224365.0,161388780.0,856172064.0,1938949544.0,320327567.0,19.0,3348.0,35274.0,0.0,8703.0,864.0,13359.0,2672.0,6022.0,55011.0,22132.0,165362.0,84208.0,3764.0,1044004.0,133399895.0,340152241.0,0.0,311580744.0,68145609.0,103721639.0,66279887.0,85105247.0,348226396.0,181699987.0,1284942101.0,1914777640.0,218352628.0,37.0,11444.0,141135.0,0.0,25979.0,2787.0,51121.0,11685.0,24253.0,172924.0,72559.0,473387.0,315793.0,12952.0,1708370.0,459399458.0,1407343400.0,0.0,885734109.0,215138455.0,435238203.0,258963839.0,354546025.0,1220451381.0,607895086.0,3534567121.0,7299172012.0,731181996.0
11140700.0,2912810.0,19023.0,2909.0,2976.0,5201.0,652.0,971.0,0.0,32.0,2720.0,3054.0,0.0,0.0,0.0,15733.0,1500.0,1076.0,13563.0,10116.0,66784.0,15508.0,198.0,976845.0,91439398.0,21777511.0,0.0,0.0,0.0,211077882.0,34575520.0,22813946.0,86426855.0,90812109.0,433494032.0,452670985.0,7916808.0,33.0,4065.0,5212.0,0.0,0.0,0.0,18957.0,2977.0,1633.0,15549.0,16163.0,76042.0,19026.0,366.0,1356729.0,132674408.0,43977193.0,0.0,0.0,0.0,200475653.0,67939213.0,32872072.0,100343230.0,140021522.0,579782208.0,586837652.0,12626800.0,137.0,17765.0,22881.0,0.0,0.0,0.0,76466.0,16007.0,7947.0,50222.0,59690.0,292939.0,90610.0,1092.0,7077694.0,564744494.0,196773864.0,0.0,0.0,0.0,881556325.0,368624288.0,190001957.0,347382389.0,582831960.0,2162367108.0,2700587475.0,40956221.0
11140710.0,2980162.0,15575.0,3229.0,3101.0,3213.0,517.0,760.0,0.0,199.0,2306.0,7430.0,0.0,51165.0,35740.0,11206.0,13807.0,1566.0,137972.0,1124.0,142637.0,61079.0,16142.0,15888325.0,177764424.0,64380908.0,0.0,1951815833.0,1218968418.0,114839593.0,574655280.0,32376702.0,1650285988.0,23006494.0,959181339.0,2693310553.0,821755047.0,158.0,3045.0,8813.0,0.0,22355.0,16734.0,8694.0,8072.0,1767.0,119618.0,363.0,115018.0,48943.0,8153.0,23823559.0,139015121.0,75085159.0,0.0,960106398.0,602210747.0,84392362.0,309958883.0,37761026.0,994792775.0,7743720.0,861566214.0,2299041218.0,466545711.0,479.0,10047.0,29374.0,0.0,92150.0,67516.0,33976.0,37858.0,7951.0,354830.0,2000.0,385216.0,214587.0,29030.0,66192712.0,532625533.0,291300628.0,0.0,3584834244.0,2362089372.0,341390290.0,1404268102.0,172327003.0,3579823306.0,42765822.0,2744781417.0,9783887451.0,1538232678.0
11140720.0,2814646.0,19357.0,3135.0,3401.0,5829.0,753.0,1219.0,0.0,0.0,424.0,1514.0,0.0,910.0,1591.0,700.0,2113.0,1170.0,14896.0,1715.0,138487.0,15999.0,247.0,0.0,13737233.0,14115248.0,0.0,10092072.0,37400501.0,6684390.0,31689546.0,20697221.0,151525919.0,23742302.0,883493000.0,447023318.0,12011179.0,0.0,676.0,1418.0,0.0,803.0,1494.0,573.0,2754.0,1058.0,14657.0,2230.0,144637.0,22015.0,475.0,0.0,17088390.0,13913624.0,0.0,10893374.0,32252766.0,7269709.0,44828249.0,16932805.0,123462615.0,33145817.0,1089521413.0,649861116.0,17442332.0,0.0,4037.0,5506.0,0.0,4098.0,5456.0,2287.0,16762.0,5693.0,50770.0,10704.0,532173.0,124940.0,1360.0,0.0,109986004.0,56002048.0,0.0,57780031.0,128370685.0,27648602.0,337643222.0,109552362.0,443657801.0,230858858.0,3987519903.0,3647574737.0,56920429.0
11140730.0,3521472.0,40394.0,6782.0,6742.0,2757.0,275.0,511.0,1.0,0.0,1332.0,10207.0,39.0,0.0,3872.0,9219.0,1716.0,2864.0,22581.0,3097.0,168805.0,22132.0,81.0,0.0,29542991.0,82960555.0,757139.0,0.0,73271420.0,62844121.0,30955663.0,52221783.0,161920193.0,28663851.0,996300952.0,319177200.0,2600143.0,0.0,1258.0,12975.0,38.0,0.0,4076.0,12004.0,2897.0,4807.0,37215.0,4649.0,161459.0,33787.0,182.0,0.0,33239127.0,107021234.0,513314.0,0.0,97076490.0,98416947.0,57448754.0,97905163.0,247474910.0,44989841.0,1109126787.0,559828188.0,7121361.0,0.0,8561.0,56663.0,475.0,0.0,18255.0,53347.0,16420.0,20724.0,120861.0,19383.0,541622.0,164495.0,399.0,0.0,208338911.0,515103605.0,16798203.0,0.0,467404044.0,491389446.0,329449670.0,485389349.0,2709877131.0,198333478.0,3556474407.0,3200900551.0,18039433.0
11140740.0,4158486.0,31404.0,4296.0,4026.0,15320.0,3231.0,5547.0,1.0,125.0,1652.0,34976.0,0.0,9155.0,14023.0,14963.0,5669.0,1121.0,184041.0,42540.0,238773.0,81208.0,3163.0,7734634.0,50820885.0,302497749.0,0.0,178371580.0,322386825.0,115028517.0,95008155.0,27410853.0,1004414372.0,322417087.0,1156999515.0,1495962808.0,136652159.0,224.0,2511.0,46298.0,0.0,21154.0,17870.0,21037.0,8062.0,1840.0,259050.0,52322.0,305859.0,117571.0,4559.0,16095923.0,97024754.0,404272669.0,0.0,424400049.0,507246229.0,186376968.0,159361458.0,41503016.0,1553657730.0,416383657.0,1748318023.0,2458676376.0,234784517.0,822.0,11202.0,182422.0,88.0,65942.0,69015.0,86192.0,32305.0,10731.0,864764.0,188395.0,937818.0,474299.0,18342.0,71261347.0,461367191.0,2043997179.0,1175030.0,1892053589.0,2789368128.0,872515678.0,855708625.0,269961223.0,6544405993.0,1792803111.0,5780016473.0,13148103819.0,1019049297.0
11140750.0,4217433.0,21763.0,3007.0,3633.0,13141.0,2416.0,3200.0,0.0,0.0,1350.0,18324.0,0.0,48.0,4240.0,6593.0,4701.0,3747.0,49502.0,3184.0,51205.0,31772.0,5557.0,0.0,47120288.0,152195759.0,0.0,2209975.0,152833950.0,58857264.0,123459622.0,104271431.0,462879012.0,35616726.0,282284548.0,1235001070.0,242976944.0,7.0,2028.0,29780.0,0.0,72.0,6517.0,7722.0,7586.0,6385.0,70710.0,4102.0,71800.0,55446.0,7968.0,278143.0,78463573.0,254379944.0,0.0,4818469.0,256845187.0,88110672.0,272173026.0,137250529.0,767553856.0,44627585.0,493967243.0,2193308877.0,396072615.0,42.0,11981.0,114080.0,0.0,253.0,25198.0,29175.0,33253.0,26384.0,236093.0,18404.0,225412.0,257111.0,27469.0,4366848.0,424171293.0,1276781092.0,0.0,14926387.0,1134769888.0,429066542.0,1285770605.0,678590146.0,2933096518.0,281032554.0,1547179133.0,10949861225.0,1469488361.0
11140760.0,4339738.0,24664.0,4648.0,4109.0,6283.0,1080.0,1516.0,0.0,163.0,3371.0,8904.0,0.0,25509.0,30407.0,32920.0,7535.0,1059.0,82216.0,1446.0,244674.0,35952.0,9700.0,10356350.0,269482451.0,75189127.0,0.0,810043852.0,720921990.0,334572558.0,176194465.0,42878771.0,731504058.0,26362474.0,1503684147.0,1033107730.0,343903770.0,210.0,3539.0,6325.0,0.0,15537.0,16092.0,23258.0,7246.0,366.0,45837.0,1236.0,179097.0,23930.0,6396.0,12005846.0,244602359.0,60938206.0,0.0,507638284.0,431104971.0,255202316.0,198970998.0,7820111.0,479183479.0,22822907.0,1382921020.0,692377350.0,241774086.0,542.0,13402.0,23205.0,0.0,54454.0,62513.0,98942.0,31192.0,2753.0,180970.0,5517.0,647500.0,105252.0,23114.0,37974393.0,1020568527.0,234400304.0,0.0,1815280060.0,1528289686.0,1051428788.0,873094044.0,87322775.0,1804457661.0,107420780.0,4634220679.0,3135828944.0,807975447.0
11140770.0,4047702.0,37964.0,6428.0,6526.0,14467.0,3210.0,3917.0,2.0,0.0,1004.0,8162.0,200.0,990.0,1524.0,4476.0,194.0,625.0,22239.0,1893.0,64944.0,22666.0,2045.0,0.0,30701984.0,65020279.0,6947732.0,46122196.0,51185030.0,86915149.0,3155066.0,14757803.0,97905302.0,30088459.0,390468314.0,730989834.0,97882861.0,0.0,1357.0,12347.0,163.0,1923.0,2009.0,7142.0,273.0,944.0,38300.0,2503.0,78148.0,40154.0,3602.0,0.0,46934404.0,101615233.0,5162075.0,94886396.0,96911032.0,146926948.0,6486232.0,31535022.0,186015927.0,39419461.0,582253404.0,1452079903.0,181250106.0,0.0,9171.0,52605.0,922.0,7446.0,9656.0,20852.0,3117.0,7067.0,124078.0,11247.0,272994.0,226315.0,15395.0,0.0,297493612.0,475119420.0,33148527.0,473071992.0,622521999.0,449259765.0,74712661.0,227489986.0,678723589.0,209483577.0,2000996293.0,9072303529.0,772539655.0
11140780.0,5237419.0,25772.0,3208.0,5156.0,11780.0,2240.0,3776.0,0.0,34.0,342.0,2742.0,4.0,0.0,0.0,6183.0,301.0,225.0,38421.0,0.0,19108.0,8659.0,90.0,3114957.0,10904649.0,31384903.0,3750000.0,0.0,0.0,44284332.0,6753996.0,6237802.0,202771662.0,0.0,98420707.0,179329487.0,6792024.0,59.0,780.0,4225.0,0.0,0.0,0.0,10983.0,780.0,557.0,54546.0,0.0,23933.0,17260.0,165.0,6772875.0,23626226.0,50213440.0,0.0,0.0,0.0,86570529.0,15684965.0,15615260.0,293911141.0,0.0,160431901.0,422756720.0,6100456.0,256.0,3252.0,22801.0,15.0,0.0,0.0,38547.0,4234.0,2896.0,167985.0,0.0,78646.0,107013.0,1010.0,24697251.0,112848084.0,302097523.0,8000000.0,0.0,0.0,361806890.0,118398395.0,83157136.0,1054939447.0,0.0,680618651.0,2991929366.0,93755889.0
