ADM_CD,지가변동률_2022,지가_2022
11110730.0,4.4270000000000005,98.588
11110740.0,4.4270000000000005,98.588
11110760.0,4.4270000000000005,98.588
11110770.0,4.4270000000000005,98.588
11110780.0,4.197,98.338
11110790.0,3.939,97.514
11120510.0,4.838000000000001,97.729
11120520.0,4.994999999999999,97.611
11120550.0,4.762,97.777
11120560.0,4.762,97.777
11120570.0,4.497000000000001,98.129
11120580.0,4.564,97.645
11120590.0,4.786,97.56
11120600.0,4.786,97.56
11120650.0,4.674,98.23
11120660.0,4.674,98.23
11120670.0,4.952999999999999,98.168
11120680.0,4.962000000000001,98.06
11120710.0,4.341,98.685
11120720.0,4.994999999999999,97.611
11120730.0,4.786,97.56
11120740.0,4.705,97.92
11130520.0,3.6318,99.3594
11130620.0,4.233,97.962
11130640.0,4.233,97.962
11130650.0,4.233,97.962
11130660.0,4.303,98.092
11130680.0,4.303,98.092
11130690.0,4.616,98.86
11130700.0,4.616,98.86
11130710.0,4.676,98.89
11130720.0,4.676,98.89
11130730.0,5.299799999999999,97.8566
11130740.0,6.283,96.743
11130750.0,3.7662,98.5512
11130760.0,4.748,96.725
11140590.0,5.049666666666667,96.847
11140600.0,5.156666666666666,96.49233333333332
11140610.0,5.3285,96.4205
11140630.0,5.043,97.0652
11140660.0,5.582666666666667,95.376
11140680.0,5.194,96.417
11140690.0,5.183999999999999,96.841
11140700.0,5.183999999999999,96.841
11140710.0,5.334999999999999,94.662
11140720.0,4.894,97.574
11140730.0,4.894,97.574
11140740.0,4.712000000000001,97.582
11140750.0,4.9750000000000005,97.266
11140760.0,5.0668,97.3834
11140770.0,5.29275,96.76725
11140780.0,5.281,96.23533333333334
11150510.0,4.957999999999999,96.981
11150520.0,4.957999999999999,96.981
11150530.0,4.957999999999999,96.981
11150540.0,4.957999999999999,96.981
11150570.0,3.863,97.993
11150580.0,3.863,97.993
11150590.0,3.863,97.993
11150600.0,3.863,97.993
11150610.0,3.863,97.993
11150620.0,3.863,97.993
11150630.0,3.863,97.993
11150640.0,4.501,97.168
11150650.0,4.501,97.168
11150660.0,4.501,97.168
11150690.0,4.501,97.168
11150700.0,4.501,97.168
11150710.0,4.957999999999999,96.981
11150720.0,4.501,97.168
11160510.0,4.992,96.8465
11160520.0,4.82,97.075
11160530.0,4.82,97.075
11160540.0,4.82,97.075
11160550.0,4.892,97.676
11160570.0,4.892,97.676
11160580.0,4.892,97.676
11160590.0,4.892,97.676
11160610.0,4.892,97.676
11160630.0,4.892,97.676
11160640.0,5.164,96.618
11160650.0,5.164,96.618
11160660.0,5.164,96.618
11160670.0,4.654,97.174
11160690.0,3.923833333333333,97.813
11160700.0,4.994666666666666,97.258
11160710.0,3.8815,97.973
11160720.0,4.91,97.578
11160730.0,4.892,97.676
11160740.0,4.6455,97.564
11170510.0,4.164,97.557
11170520.0,4.164,97.557
11170540.0,4.164,97.557
11170550.0,4.164,97.557
11170560.0,4.164,97.557
11170610.0,4.099,97.556
11170620.0,4.099,97.556
11170640.0,4.099,97.556
11170650.0,4.099,97.556
11170670.0,3.63,98.199
11170690.0,3.63,98.199
11170700.0,4.164,97.557
11170710.0,4.164,97.557
11170720.0,4.099,97.556
11170730.0,3.3919999999999995,98.1075
11170740.0,3.1539999999999995,98.016
11180510.0,4.409,96.254
11180520.0,4.205,97.099
11180530.0,4.205,97.099
11180540.0,4.205,97.099
11180550.0,4.205,97.099
11180570.0,3.955,97.049
11180580.0,3.955,97.049
11180590.0,3.955,97.049
11180600.0,3.955,97.049
11180610.0,3.955,97.049
11190540.0,5.558000000000001,95.38
11190550.0,4.727,96.697
11190560.0,4.766500000000001,96.7235
11190610.0,4.845999999999999,96.919
11190620.0,4.715333333333333,96.88833333333334
11190630.0,5.612000000000001,97.183
11190650.0,5.612000000000001,97.183
11190660.0,5.612000000000001,97.183
11190670.0,5.612000000000001,97.183
11190680.0,5.612000000000001,97.183
11190690.0,5.612000000000001,97.183
11190700.0,5.612000000000001,97.183
11190710.0,5.612000000000001,97.183
11190720.0,5.612000000000001,97.183
11190730.0,5.3775,97.1455
11190740.0,4.942888888888889,96.99344444444444
11190750.0,5.143,97.108
