ADM_CD,total_all_2024,solo_all_2024,total_20_2024,solo_20_2024,total_25_2024,solo_25_2024,total_30_2024,solo_30_2024,total_35_2024,solo_35_2024,solo_20s_2024,solo_30s_2024,solo_all_ratio,solo_20s_ratio,solo_30s_ratio
11010530,8934.0,2200.0,569.0,182.0,705.0,252.0,791.0,262.0,749.0,223.0,217.0,242.5,24.625027982986346,9.863636363636363,11.022727272727273
11010540,2579.0,911.0,311.0,152.0,176.0,88.0,186.0,87.0,205.0,89.0,120.0,88.0,35.323768902675454,13.172338090010976,9.659714599341383
11010550,9226.0,1582.0,1119.0,204.0,865.0,161.0,687.0,177.0,637.0,150.0,182.5,163.5,17.147192716236724,11.536030341340076,10.335018963337546
11010560,15667.0,1646.0,1238.0,131.0,1207.0,128.0,1133.0,137.0,1051.0,113.0,129.5,125.0,10.506159443416099,7.867557715674361,7.594167679222358
11030740,19241.0,5509.0,1111.0,439.0,1882.0,760.0,2315.0,871.0,1991.0,694.0,599.5,782.5,28.631568005820903,10.882192775458341,14.204029769468143
11040520,13364.0,2351.0,1122.0,253.0,1294.0,318.0,1281.0,259.0,1223.0,219.0,285.5,239.0,17.59203831188267,12.143768609102509,10.165886856656742
11040540,20798.0,4130.0,2077.0,705.0,2288.0,803.0,1940.0,466.0,1589.0,341.0,754.0,403.5,19.857678622944512,18.256658595641646,9.76997578692494
11020680,7600.0,1394.0,446.0,88.0,627.0,137.0,705.0,132.0,770.0,130.0,112.5,131.0,18.342105263157897,8.070301291248207,9.397417503586802
11040730,19135.0,2471.0,1174.0,94.0,1574.0,147.0,2164.0,300.0,2144.0,266.0,120.5,283.0,12.913509276195454,4.8765681910157825,11.452853095912587
11020580,5634.0,2396.0,1153.0,669.0,948.0,527.0,563.0,293.0,397.0,194.0,598.0,243.5,42.5275115370962,24.958263772954925,10.162771285475793
11020590,6345.0,2581.0,428.0,243.0,688.0,394.0,743.0,376.0,593.0,283.0,318.5,329.5,40.67769897557131,12.340178225493995,12.766369624176676
11040550,13670.0,5831.0,3330.0,2181.0,2998.0,1936.0,1273.0,534.0,795.0,304.0,2058.5,419.0,42.65544989027067,35.30269250557366,7.1857314354313155
11030510,15243.0,3236.0,1167.0,230.0,1427.0,322.0,1559.0,432.0,1431.0,374.0,276.0,403.0,21.22941678147346,8.529048207663783,12.453646477132262
11030520,10687.0,2745.0,695.0,254.0,1139.0,432.0,1346.0,473.0,988.0,318.0,343.0,395.5,25.685412183026106,12.49544626593807,14.408014571948998
11030530,7037.0,2894.0,398.0,215.0,608.0,335.0,625.0,316.0,500.0,237.0,275.0,276.5,41.125479607787405,9.502418797512094,9.554250172771251
11030570,12185.0,1824.0,879.0,135.0,823.0,140.0,1152.0,222.0,1171.0,203.0,137.5,212.5,14.969224456298727,7.538377192982456,11.650219298245613
11030580,7751.0,1192.0,656.0,122.0,646.0,142.0,719.0,153.0,742.0,139.0,132.0,146.0,15.378660817958972,11.073825503355705,12.248322147651008
11030590,10311.0,1692.0,692.0,147.0,815.0,194.0,1048.0,195.0,1033.0,176.0,170.5,185.5,16.409659586848996,10.076832151300238,10.963356973995273
11030650,6987.0,2365.0,459.0,201.0,801.0,349.0,798.0,342.0,727.0,297.0,275.0,319.5,33.848575926721054,11.627906976744185,13.509513742071883
11040590,11171.0,1606.0,748.0,54.0,780.0,68.0,1015.0,153.0,1059.0,143.0,61.0,148.0,14.37651060782383,3.7982565379825655,9.21544209215442
11040620,13017.0,2140.0,764.0,79.0,936.0,105.0,1325.0,220.0,1477.0,225.0,92.0,222.5,16.44003994776062,4.299065420560748,10.397196261682243
11040650,13992.0,2620.0,1163.0,232.0,1336.0,298.0,1500.0,389.0,1322.0,309.0,265.0,349.0,18.72498570611778,10.114503816793894,13.320610687022901
11040670,16893.0,3784.0,1292.0,286.0,1660.0,412.0,1590.0,378.0,1443.0,327.0,349.0,352.5,22.39981057242645,9.223044397463003,9.31553911205074
11040690,10294.0,2711.0,788.0,236.0,911.0,279.0,1046.0,285.0,915.0,233.0,257.5,259.0,26.33572955119487,9.49834009590557,9.553670232386573
11040700,14742.0,4464.0,1139.0,470.0,1365.0,588.0,1345.0,568.0,1210.0,476.0,529.0,522.0,30.28083028083028,11.850358422939069,11.693548387096774
11080650,23058.0,2999.0,1824.0,262.0,1638.0,239.0,1983.0,185.0,2208.0,189.0,250.5,187.0,13.006331858790876,8.352784261420473,6.235411803934645
11080660,28394.0,2065.0,1720.0,71.0,1812.0,81.0,2734.0,105.0,3688.0,126.0,76.0,115.5,7.272663238712404,3.6803874092009683,5.593220338983051
11080810,15033.0,3276.0,1286.0,468.0,1560.0,586.0,1415.0,443.0,1212.0,346.0,527.0,394.5,21.79205747355817,16.086691086691086,12.042124542124542
11080820,22688.0,5560.0,2414.0,933.0,2534.0,1022.0,2185.0,697.0,1923.0,569.0,977.5,633.0,24.506346967559946,17.58093525179856,11.384892086330934
11080830,14908.0,6193.0,2504.0,1794.0,2370.0,1664.0,1652.0,771.0,1176.0,514.0,1729.0,642.5,41.541454252750206,27.91861779428387,10.374616502502827
11060720,13661.0,3662.0,1643.0,761.0,1893.0,867.0,1382.0,448.0,998.0,285.0,814.0,366.5,26.80623673230364,22.228290551611142,10.00819224467504
11060890,29088.0,11486.0,5313.0,4010.0,4375.0,3202.0,2556.0,855.0,2017.0,625.0,3606.0,740.0,39.48707370737073,31.394741424342676,6.442625805328225
11060900,18705.0,2615.0,1622.0,334.0,1663.0,348.0,1605.0,184.0,1632.0,159.0,341.0,171.5,13.980219192729217,13.040152963671128,6.558317399617591
11060910,23597.0,3963.0,1818.0,391.0,1939.0,451.0,2218.0,433.0,2286.0,400.0,421.0,416.5,16.794507776412257,10.623265203128943,10.50971486247792
11070590,20896.0,2396.0,1864.0,136.0,1817.0,160.0,1778.0,232.0,1848.0,219.0,148.0,225.5,11.466309341500766,6.176961602671119,9.41151919866444
11070610,17455.0,2474.0,1404.0,175.0,1502.0,203.0,1834.0,266.0,1613.0,217.0,189.0,241.5,14.17358922944715,7.639450282942603,9.761519805982214
11070690,32669.0,2904.0,2766.0,136.0,2450.0,137.0,2777.0,159.0,3179.0,165.0,136.5,162.0,8.889160978297468,4.7004132231404965,5.578512396694215
11080720,18110.0,3793.0,2171.0,858.0,1676.0,671.0,1610.0,316.0,1554.0,267.0,764.5,291.5,20.944229707344007,20.155549696809913,7.685209596625363
11050660,24675.0,2430.0,1904.0,155.0,2215.0,197.0,2441.0,264.0,2344.0,224.0,176.0,244.0,9.848024316109424,7.242798353909465,10.041152263374485
11050610,20652.0,3192.0,1582.0,231.0,1779.0,291.0,2074.0,363.0,1967.0,305.0,261.0,334.0,15.45613015688553,8.17669172932331,10.463659147869674
11090630,19060.0,4078.0,1572.0,257.0,1534.0,275.0,1670.0,378.0,1532.0,317.0,266.0,347.5,21.395592864637987,6.5228052967140755,8.521333987248651
11090690,24741.0,3761.0,1881.0,134.0,1787.0,138.0,2157.0,323.0,2205.0,297.0,136.0,310.0,15.201487409563075,3.616059558628024,8.24248869981388
11090720,25613.0,5341.0,1922.0,295.0,1946.0,328.0,2146.0,380.0,1944.0,316.0,311.5,348.0,20.852691992347637,5.83224115334207,6.515633776446358
11090730,24522.0,2293.0,1575.0,46.0,1488.0,47.0,2148.0,119.0,2926.0,148.0,46.5,133.5,9.350787048364733,2.0279110335804624,5.822067160924553
11090740,18131.0,2858.0,1591.0,181.0,1234.0,157.0,1371.0,176.0,1346.0,155.0,169.0,165.5,15.763057746401191,5.913226032190343,5.790762771168649
11110520,23015.0,3638.0,1823.0,147.0,1608.0,128.0,1856.0,196.0,2197.0,211.0,137.5,203.5,15.80708233760591,3.779549202858713,5.593732820230897
11080620,15522.0,1915.0,1327.0,250.0,1267.0,244.0,1335.0,126.0,1446.0,128.0,247.0,127.0,12.33732766396083,12.898172323759791,6.631853785900783
11010570,6433.0,814.0,448.0,46.0,438.0,49.0,440.0,63.0,541.0,73.0,47.5,68.0,12.653505362972176,5.835380835380835,8.353808353808354
