ADM_CD,네일숍_2024,미용실_2024,분식전문점_2024,애완동물_2024,한식음식점_2024,양식음식점_2024,일식음식점_2024,중식음식점_2024,치킨전문점_2024,커피-음료_2024,패스트푸드점_2024,제과점_2024,편의점_2024,호프-간이주점_2024
11010530.0,14.0,35.0,122.0,10.0,407.0,187.0,63.0,33.0,7.0,15.0,7.0,20.0,12.0,7.0
11010540.0,1.0,0.0,17.0,1.0,76.0,85.0,7.0,3.0,0.0,9.0,1.0,3.0,1.0,0.0
11010550.0,0.0,10.0,13.0,8.0,36.0,38.0,5.0,4.0,0.0,5.0,3.0,7.0,4.0,0.0
11010560.0,3.0,15.0,13.0,4.0,53.0,20.0,7.0,3.0,0.0,1.0,2.0,4.0,4.0,1.0
11010570.0,1.0,9.0,7.0,0.0,22.0,1.0,1.0,2.0,1.0,2.0,3.0,3.0,2.0,1.0
11010580.0,2.0,11.0,17.0,8.0,65.0,18.0,5.0,5.0,1.0,0.0,1.0,6.0,7.0,1.0
11010600.0,0.0,8.0,19.0,1.0,67.0,43.0,7.0,1.0,1.0,4.0,0.0,13.0,4.0,1.0
11010610.0,12.0,32.0,235.0,20.0,1219.0,320.0,116.0,65.0,5.0,17.0,29.0,36.0,29.0,18.0
11010630.0,2.0,21.0,51.0,19.0,303.0,31.0,16.0,5.0,2.0,1.0,1.0,6.0,3.0,5.0
11010640.0,2.0,11.0,42.0,1.0,113.0,88.0,16.0,11.0,0.0,4.0,7.0,12.0,5.0,1.0
11010670.0,2.0,48.0,58.0,8.0,189.0,41.0,10.0,18.0,6.0,2.0,7.0,8.0,7.0,7.0
11010680.0,2.0,48.0,58.0,8.0,189.0,41.0,10.0,18.0,6.0,2.0,7.0,8.0,7.0,7.0
11010690.0,2.0,48.0,58.0,8.0,189.0,41.0,10.0,18.0,6.0,2.0,7.0,8.0,7.0,7.0
11010700.0,4.0,27.0,31.0,5.0,169.0,21.0,12.0,8.0,7.0,0.0,4.0,5.0,11.0,5.0
11010710.0,4.0,27.0,31.0,5.0,169.0,21.0,12.0,8.0,7.0,0.0,4.0,5.0,11.0,5.0
11010720.0,6.0,16.0,19.0,9.0,88.0,75.0,10.0,9.0,1.0,7.0,3.0,9.0,3.0,1.0
11010730.0,10.0,31.0,90.0,9.0,231.0,132.0,30.0,17.0,6.0,14.0,16.0,6.0,11.0,11.0
11020520.0,7.0,22.0,54.0,5.0,361.0,92.0,74.0,43.0,5.0,16.0,14.0,24.0,33.0,5.0
